故障类别,软/硬件,部件,标题,描述,原因分析,解决方案,Unnamed: 7
硬件,飞箱,触点,电压持续掉电,飞箱101062电压持续掉电！！！,,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,飞箱,TOF24,飞箱tof离线,飞箱tof升级结束后离线,跟据肖工判断因为飞箱tof版本未升级导致,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,飞箱,触点,101013飞箱电压异常,飞箱电压不足26V，飞箱欠压,,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,飞箱,触点,飞箱低电压报警,飞箱104007低电压报警,触点接触不良，导致飞箱无法供电,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,分拣机,1号电机,1号电机回零不到位，Y轴倾斜,1号电机回零不到位，Y轴倾斜,1号电机有问题,"1.查看回零位置是否有异物或卡顿
  -是：清理异物检查卡顿
  -否：进入步骤2
2.查看1号电机联轴器是否正常或有异响
  -是：重新拆开安装联轴器或更换联轴器
  -否：更换电机",
硬件,飞箱,TOF24,飞箱101014推箱接驳位没有小车,"推箱->地面车
飞箱: 101014 地面车: 219251
接驳位没有小车",根据tof日志查看24号tof出现问题读取不到数据,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,飞箱,TOF24,101039拉箱失败,"101039 ロケーション: (A040)05-042
tof24号镜头有灰尘,2,0",tof上面有积灰尘，导致tof测量数据不准确,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,平台,,机器人在固定位置报红,机器人在固定位置报红,机器人没有读取到RFID,"1.检查报错位置地毯是否有翘起
  -是：修理平整
  -否：进入步骤2
2.检查地毯方向是否不一致
  -是：进入步骤3
  -否：旋转地毯方向
3.打开磁条图查看rfid是否能识别
  -是：联系专业的售后技术人员查看
  -否：更换地毯或rfid",
,,,机器人在某个区域一致报错,,,"1.检查报错位置地毯是否有翘起
  -是：修理平整
  -否：进入步骤2
2.检查地毯方向是否不一致
  -是：进入步骤3
  -否：旋转地毯方向
3.打开磁条图查看rfid是否能识别
  -是：联系专业的售后技术人员查看
  -否：更换地毯或rfid",
硬件,飞箱,其它,101086飞箱拉箱失败,101086飞箱拉箱失败报警,查看监控是抓钩第一次脱钩,"1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：联系售后人员解决
-否：调整飞箱倾角。",
硬件,分拣机,4号电机,分拣机翻板不向左右进行翻板投递,客户反馈其中一台分拣机翻板不向左右进行翻板投递,经调查核实发现，5号电机有故障，需要更换,"1.使用工具连接当前分拣机，手动发送左右转动指令，是否能转动
  -否：更换五号电机减速器
  -是：联系专业的售后技术人员处理",
,,,分拣机翻板不能转动,,,"1.使用工具连接当前分拣机，手动发送左右转动指令，是否能转动
  -否：更换五号电机减速器
  -是：联系专业的售后技术人员处理",
硬件,扫码台相机,,相机补光灯不亮,客户反馈现场的一台大华相机的补光灯不亮,经核实调查是大华相机的本身硬件问题,"1.断电重启相机是否恢复
  -是：问题解决
  -否：进入步骤2
2.打开svs查看补光灯是否打开
  -是：进入步骤3
  -否：打开补光灯设置
3.打开svs重置相机设置后导入其他相机设置是否恢复
  -是：问题解决
  -否：联系专业的售后技术人员处理",
,,,相机的灯不亮了,,,"1.断电重启相机是否恢复
  -是：问题解决
  -否：进入步骤2
2.打开svs查看补光灯是否打开
  -是：进入步骤3
  -否：打开补光灯设置
3.打开svs重置相机设置后导入其他相机设置是否恢复
  -是：问题解决
  -否：联系专业的售后技术人员处理",
硬件,分拣机,其它,分拣机不同步,分拣机和小车投递不同步,分拣机有网络延迟,"1.重置分拣机网络是否恢复
  -是：问题解决
  -否：进入步骤2 
2.打开分拣机电控箱，小交换机网线互换是否恢复
  -是：问题解决
  -否：联系专业的售后技术人员处理",
硬件,飞箱,触点,SIG飞箱掉电,sig101013飞箱掉电，无法通过左右移动来充电,触点故障,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,飞箱,TOF25,tof离线,流山101047飞箱tof25离线，终止启动没有效果，关24v电源后无法开启,,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,飞箱,其它,101033拉箱失败,101033拉箱失败,未知,"1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：联系售后人员解决
-否：调整飞箱倾角。",
硬件,扫码台相机,,更换镜头之后，使用了一次，补光灯不亮了,更换镜头之后，使用了一次，补光灯不亮了,SVS连接有画面显示，供电输入正常，问了大华厂家，可能是灯的开关按钮坏了，也可能是灯坏了，有可能是线路问题，具体问题需要售后维修那边检测后才知道,联系专业的售后技术人员查看,
硬件,飞箱,触点,106003飞箱离线,106003飞箱离线，操作界面显示飞箱未连接,充电模块故障导致飞箱没电,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,飞箱,其它,101062:接驳位多次修正失败,:接驳位多次修正失败,未知,"1、提供弹窗信息和读取飞箱日志。

2、检查TOF是否脏污或螺丝松动。
-是：擦干净TOF/紧固螺丝
-否：进入步骤3

3、查看地面车停的位置是否准确。
-是：进入步骤4
-否：通过操控界面调整地面车位置

4、检查拉箱机是否倾斜。
-是：找到倾斜原因并解决，如未发现明显原因，可以电机回零继续观察
-否：进入步骤5

5、检查接驳位偏移量是否正常，可以和相邻接驳位对比下
-是：联系售后人员解决。
-否：调整偏移量。

",
硬件,灯条按钮盒,,部分按钮盒不在线,部分按钮盒不在线,按钮盒线缆故障,"1.打开按钮盒软件查看具体断连的盒子检查连接线是否正常
  -否：恢复连接线或更换
  -是：进入步骤2
2.更换按钮盒并进行重新注册是否恢复（注册时注意不要清除别的按钮盒数据）
  -是：问题解决
  -否：联系专业的售后技术人员处理
",
硬件,飞箱,其它,101062电压低等待,"推箱->地面车
飞箱: 101062 地面车: 219184
电压低等待...",未知,"1、提供弹窗信息和读取飞箱日志。

2、检查TOF是否脏污或螺丝松动。
-是：擦干净TOF/紧固螺丝
-否：进入步骤3

3、查看地面车停的位置是否准确。
-是：进入步骤4
-否：通过操控界面调整地面车位置

4、检查拉箱机是否倾斜。
-是：找到倾斜原因并解决，如未发现明显原因，可以电机回零继续观察
-否：进入步骤5

5、检查接驳位偏移量是否正常，可以和相邻接驳位对比下
-是：联系售后人员解决。
-否：调整偏移量。

",
硬件,机器人,霍尔板,检测不到RFID,188250霍尔异常,机器人频繁急停,"1、查看磁条图确认霍尔板是否正常。
-是：进入步骤2
-否：校准霍尔板后继续观察，还是不行就更换霍尔板。

2、检查万向轮弹簧按压、转动轮子是否顺畅。
-是：进入步骤3
-否：清理轮子异物或更换轮子。

3、开机状态下转动主动轮能否转动。
-能：拆掉轮胎，紧固主动轮底座螺丝。
-否：进入步骤4

4、检查魔毯是否异常磨损，连接处是否平整。
-是：更换魔毯或处理不平整的地方。
-否：联系售后人员

",
,,,地毯的rfid读不到了,,,"1、查看磁条图确认霍尔板是否正常。
-是：进入步骤2
-否：校准霍尔板后继续观察，还是不行就更换霍尔板。

2、检查万向轮弹簧按压、转动轮子是否顺畅。
-是：进入步骤3
-否：清理轮子异物或更换轮子。

3、开机状态下转动主动轮能否转动。
-能：拆掉轮胎，紧固主动轮底座螺丝。
-否：进入步骤4

4、检查魔毯是否异常磨损，连接处是否平整。
-是：更换魔毯或处理不平整的地方。
-否：联系售后人员

",
硬件,扫码台相机,,相机太亮,上层第4个扫码台的两个相机太亮了，无法识别条码,50的亮度还是太亮了，尝试降低,"1.打开SVS软件查看相机亮度是否到达50
  -是：进入步骤2
  -否：调整相机亮度到50
2.检查光圈是否是8的位置
  -是：联系专业的售后技术人员处理
  -否：调整光圈",
,,,相机的灯能不能调暗一点,,,"1.打开SVS软件查看相机亮度是否到达50
  -是：进入步骤2
  -否：调整相机亮度到50
2.检查光圈是否是8的位置
  -是：联系专业的售后技术人员处理
  -否：调整光圈",
硬件,飞箱,TOF24,飞箱106002的TOF24异常,Please Resolve:飞箱:106002 故障。问题跳出Z轴动态平衡请恢复飞箱后点击已解决,飞箱106002的TOF24一直离线，判断其已损坏，导致无法正常运行,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,分拣机,彩虹灯连接线,分拣机左侧不亮灯,第1套4号分拣机白灯红灯都不亮,左侧灯板接线松了,"1.打开分拣机电控箱查看彩虹灯线是否插紧
  -是：进入步骤2
  -否：插紧连接线
2.更换彩虹灯板是否正常
  -是：问题解决
  -否：联系专业的售后技术人员处理",
硬件,分拣机,急停板,1-5电机全部离线,PNT仓第4套4号机所有电机离线,怀疑是电控箱内急停控制板故障,"1.分拣机是否有急停板
  -是：进入步骤2
  -否：进入步骤3
2.检查急停板是否正常或更换
3.检查输出板是否在线
  -是：联系专业的售后技术人员处理
  -否：按照输出板离线操作指引处理",
硬件,飞箱,其它,机器人报错，雷达坐标失效,机器人报错，雷达坐标失效,,"1、提供弹窗信息和读取地面车日志

2、检查雷达是否在线。
-是：进入步骤3
-否：1、检查雷达线是否松动或线束是否固定
     2、检查雷达灯是否旋转闪烁。

3、开机状态下用手转动小车主动轮，是否能转动。
-是：拆掉轮胎，紧固轮胎安装底座的螺丝。
-否：联系售后人员解决。",
硬件,分拣机,4号电机,4号电机离线,4号电机离线,电机连接线松掉了,根据分拣机电机离线操作指引进行操作,
硬件,其它,,机器人报红,机器人报红,实际地毯的rfid和码文件中录入的不一致,"1. 查看RCS报错代码
- 请打开机器人控制系统（RCS），查看是否有任何报错代码?
- 有：进入步骤2
- 没有：进入步骤3

2. 根据报错代码进行排查
- 用户提交报错代码，然后根据“机器人报错代码排查手册”进行问题排查

3. 检查机器人周围是否有障碍物，导致机器人无法移动?
- 有障碍物：引导客户清理障碍物
- 没有障碍物：进入步骤4

4. 检查格口或分拣机状态是否正常
- 是：进入步骤5
- 否：恢复格口或分拣机状态

5. 如全场停止但没有急停，检查rcs小车有无报错闪烁并查看闪烁机器人颜色
- 是：如果为粉色则检查地毯rfid是否和rcs一样
- 否：进入步骤6
6. 确认是否为演示环境
- 是：把模式改成随机跑，改完后观察是否能移动?
- 能：问题解决
- 不能：建议联系专业的售后技术支持人员获得帮助
- 否：建议联系专业的售后技术支持人员获得帮助

",
硬件,飞箱,其它,飞箱3定位失效,飞箱在执行任务的时候报错：飞箱101013定位失效,飞箱没有定位到定位码,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,分拣机,X滑块,X轴卡顿,X轴下滑卡顿,X轴下框滑块坏了,"1.检查X轴皮带是否有断裂等异常
  -是：更换皮带
  -否：进入步骤2
2.手动推X轴是否同一个位置卡顿
  -是：检查铝型材变形
  -否：进入步骤3
3.查看滑块是否损坏
  -是：更换滑块
  -否：联系专业的售后技术人员处理",
硬件,机器人,翻板电机,翻板电机过载,小车翻板电机过载，导致翻板角度过大无法恢复,,"1.关机重启是否恢复
  -是：问题解决
  -否：进入步骤2
2.手动翻板是否能恢复
  -是：加入运行继续观察
  -否：进入步骤3
3.根据翻板翻过头视频操作指引进行，是否恢复
  -是：问题解决
  -否：进入步骤4
4.根据注册电机视频进行注册电机是否恢复
  -是：问题解决
  -否：进入步骤5
5.打开机器人盖子拔掉左右轮子电机线，打开磁条图电机高级再点击零位校准是否恢复
  -是：问题解决
  -否：联系专业的售后技术人员处理",
硬件,飞箱,TOF24,106002飞箱报警,"g_debug_str:推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高。",24号TOF会断断续续离线，初步排查线束接触不好，插拔后还是不行，最后发现是TOF数据读取有延迟。,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,分拣机,读卡器,LCD屏显示右侧读卡器离线,LCD屏显示右侧读卡器离线,,"1.拔插读卡器是否恢复
  -是：问题解决
  -否：进入步骤2
2.更换读卡器是否解决（注意读卡器编号，左右编号不一致）
  -是：问题解决
  -否：联系专业的售后技术人员处理",
,,,读卡器没反应,,,"1.拔插读卡器是否恢复
  -是：问题解决
  -否：进入步骤2
2.更换读卡器是否解决（注意读卡器编号，左右编号不一致）
  -是：问题解决
  -否：联系专业的售后技术人员处理",
硬件,机器人,驱动轮电机,主动轮松动,上层小车217150跑偏，右轮松动,现场无工具，需拆机检查,"1.根据电机注册视频操作是否恢复
  -是：问题解决
  -否：进入步骤2
2.机器人开机状态下打开轮子旋转抱箍是否能旋转
  -是：进入步骤3
  -否：重新安装尝试
3.机器人开机状态下拆开抱箍后重新装回去尝试是否能旋转
  -是：更换电机并重新注册
  -否：安装回轮子运行尝试",
,,,机器人轮子松了,,,"1.根据电机注册视频操作是否恢复
  -是：问题解决
  -否：进入步骤2
2.机器人开机状态下打开轮子旋转抱箍是否能旋转
  -是：进入步骤3
  -否：重新安装尝试
3.机器人开机状态下拆开抱箍后重新装回去尝试是否能旋转
  -是：更换电机并重新注册
  -否：安装回轮子运行尝试",
,,,机器人开机时候轮子还能转,,,"1.根据电机注册视频操作是否恢复
  -是：问题解决
  -否：进入步骤2
2.机器人开机状态下打开轮子旋转抱箍是否能旋转
  -是：进入步骤3
  -否：重新安装尝试
3.机器人开机状态下拆开抱箍后重新装回去尝试是否能旋转
  -是：更换电机并重新注册
  -否：安装回轮子运行尝试",
硬件,飞箱,主控板,101059飞箱失联,待机过程中飞箱101059出现失联情况，RCS界面显示飞箱关机，可以ping通飞箱的IP地址,肖侠驹判断飞箱主板死机，复位主板之后恢复，原因未知，待分析,"1、主板复位。
2、软件程序解决",
硬件,飞箱,其它,飞箱定位失败,现在对飞箱扎线后，飞箱断电，再开机定位失败,飞箱倾角过大，导致定位失败,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,分拣机,1号电机,1号电机离线,第2套30号分拣机1号电机离线，电机温度有点烫，电机灯闪烁较慢,怀疑是哪里卡住了,根据电机离线操作流程进行指引操作,
硬件,扫码台相机,,相机无法调整焦距,相机无法调整焦距，只能转动整个镜头才能调焦距,由于前面光圈上面位置松动，使用了胶水，可能影响到了相机焦距转动无法调焦的问题,"1.查看相机镜头是否被卡住
  -是：进行处理异常，若无法处理则更换
  -否：联系专业的售后技术人员处理",
硬件,飞箱,TOF21,106001飞箱报警,106001飞箱近期频繁报：接驳位多次修正失败。,未知，已反馈肖,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,飞箱,其它,飞箱106008报错,"Please Resolve:Pull bin<- FloorbotAirRob:106008 Floorbot:219160单节电池电压过高,bms充电开关损坏4213",,"1、终止任务、启动任务 然后继续观察
2、更换电容板。",
硬件,飞箱,其它,三台飞箱异常,三台飞箱同样异常，无法开机运行，提示倾角加速度异常,徐剑昌：因为现在飞箱关机后，会把激光雷达给关闭的，目的是延长激光雷达的使用寿命。但是激光雷达的5V电源和倾角加速度计是同一路电源，所以在关机时也是被关闭的。收到开机指令后，5V电源打开，倾角加速度计上电有个时间，主任务线程等的时间不够长，所以会判断成离线了，只要把这个等的时间稍微加长一点就可以了。,通过软件程序解决,
硬件,飞箱,触点,飞箱101061掉电,"流山UA 警告：飞箱: 101061 故障。问题:
定位失效
请恢复飞箱后点击已解决",飞箱待机中出现飞箱掉电，导致飞箱丢失定位,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,飞箱,TOF21,飞箱101032故障,"拉箱<-货架 
飞箱：101032 箱位：（A008）13-022
No running position:9 目标:2.0 实际:298.6",飞箱勾的时候没有勾到位，导致拉的时候脱钩，箱子撞击了tof21，损坏tof21,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,机器人,BMSP板,BMSP板烧坏,小车191252的电压转换芯片烧坏，需要更换BMSP板。,怀疑是充电时短路造成,"1.检查电源板有没有5V电压上来（万用表一只表笔测量保险丝左边，一只表笔接电源负极也就是黑色线那里）
-是：BMSP损坏，需要更换BMSP板
-否：电源板损坏，需要更换电源板",
硬件,机器人,无线模块,机器人通信故障,221158机器人通信与AP5次连接失败,未找到原因，反馈研发处理,"1查看机器人本身无线模块是否松动
-是：紧固无线模块
-否：进入步骤2
2.检查信道干扰图（是否有使用中信道干扰严重）
-是:修改信道干扰严重的数值
-否：联系专业售后技术支持人员",
硬件,灯条按钮盒,,注册按钮盒,GK035、GK054两个格口的按钮盒被更换，需要注册,现场自行更换,联系售后运维人员注册按钮盒,
硬件,飞箱,其它,飞箱101084故障,跳出z轴动态平衡,未知,1、终止任务、启动任务 然后继续观察,
硬件,飞箱,其它,飞箱101070故障,库位A078-10-001调整位置超过10次失败,待研发肖侠驹分析,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,飞箱,其它,飞箱101078停机,库位A071-02-018拉箱时，仅拉了一半停机,待研发肖侠驹分析,"1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：联系售后人员解决
-否：调整飞箱倾角。",
硬件,飞箱,其它,飞箱101088倾斜,负荷较大时，Z轴电机发生电压差，导致Z轴不同步,负荷较大时，Z轴电机发生电压差，导致Z轴不同步,"1、检查5、6号电机是否在线或断断续续的离线。
-是：进入步骤2
-否：插拔线束或者更换电机
2、检查两侧皮带松紧度是否相同。
-是：进入步骤3
-否：皮带调整到相同松紧度。
3、检查两边滑块是否顺畅、无异响。
-是：联系售后人员协助检查
-否：查找异响/卡顿的地方，维修。",
硬件,飞箱,触点,101054飞箱持续掉电,101054飞箱持续掉电，移动飞箱之后正常,充电触点模块异常,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,其它,,发车按钮卡住,发车按钮卡住，导致客户的14个料箱都没来得及操作直接走掉。现场人员将按钮拆开已经做临时修复处理。,现场人员将按钮拆开发现1的大螺母松动，2的按钮没有牢固地卡在1里边,"1.拆开按钮查看是否里面存在螺丝松动或卡住等异常
  -是：修复异常
  -否：更换按钮并联系专业的售后技术人员支持重新绑定新按钮",
,,,发车按钮按不动了,,,"1.拆开按钮查看是否里面存在螺丝松动或卡住等异常
  -是：修复异常
  -否：更换按钮并联系专业的售后技术人员支持重新绑定新按钮",
硬件,飞箱,其它,101054飞箱上升的过程中发出异响,在检查飞箱触点的时候发现，101054飞箱上升的过程中发出异响，暂时让现场临时继续使用,"暂时无法确认原因，初步怀疑，滑块、电机或者导轨问题。需要现场确认
","1、检查5、6号电机是否在线或断断续续的离线。
-是：进入步骤2
-否：插拔线束或者更换电机
2、检查两侧皮带松紧度是否相同。
-是：进入步骤3
-否：皮带调整到相同松紧度。
3、检查两边滑块是否顺畅、无异响。
-是：联系售后人员协助检查
-否：查找异响/卡顿的地方，维修。",
硬件,飞箱,触点,飞箱断电,"101054飞箱运行中断电，让现场晃动飞箱之后飞箱重新上电
恢复通电之后，飞箱无法正常勾箱子，又尝试对飞箱电机重新回零",充电触点无法正常接触，导致飞箱没电,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,飞箱,触点,101054飞箱持续掉电,飞箱持续掉电,触点接触问题，滑块组件磨损,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
