问题提出时间,问题描述,解决过程,解决过程.1
2024-07-08 12:48:00,客户Badiane Alioune报告2个AP显示通信质量等级为“Poor”。,客服Jacky请求提供AcConfig截图。客户提供截图。客服Jacky建议将AP功率从120设为100，并指出可能与信道列表和AP功率设置有关。客户询问修改设置后是否需要重启RCS，客服确认。客户表示会执行。客户后续反馈已更改AP功率，成功率约为99-100%，但仍询问为何通信质量分析仍显示“Poor”。客服Jacky表示会内部确认并提供RCS PC到AP IP地址的ping结果截图以继续调查。,
2024-07-09 17:10:00,小型皮带式AGV207185电机离线，运行时发生303错误。,客服肖肖询问离线情况，客户回复运行时发生303错误，速度正常。客服肖肖尝试远程连接，成功连接后发现日志仅显示皮带电机离线，无其他报错。客服肖肖建议拆机确认电机连接及指示灯是否正常显示。客户表示现场无人无法确认，会将机器人带回进行检查。,
2024-07-10 12:35:00,当机器人从随机运行模式切换到分拣运行模式时，如果超出感应等待队列进行排列，询问如何修正。,客服肖肖询问停车区数量是否足够，客户回复足够。客服肖肖建议开启某个设置，客户尝试后仍有轻微超出。客服肖肖询问此位置是否有出口线路，客户确认有。客服肖肖请求远程查看模拟环境。后续客服肖肖询问客户使用的RCS版本，客户提供版本号并描述操作步骤。客服肖肖要求客户尝试复现问题，发生时不要动以便查看日志。,
2024-07-10 13:33:00,在使用灯条版本304的现场，接到报告说商品已满但没有满载响应。屏幕上所有灯条都正常在线，询问是否需要更新固件。,客服肖肖建议先升级版本（最新版本310，是研发修复近距离检测问题的版本）。客户确认会更新。客户提供了远程ID。客服肖肖完成更新。后续客户报告版本更新后今天仍出现同样问题。客服肖肖询问现场如何恢复，客户描述可通过手动触发传感器来恢复。客服肖肖建议如果再次出现，尽量保留环境并录制视频，联系客服查看，目前无具体坐标信息难以分析。,
2024-07-11 08:59:00,在MonotaRO Kasama，双电机大型车出现303错误，电机离线。,客服Wang询问是否尝试关机一分钟后再开机，客户回复已尝试但会重复出现离线。客服Wang建议拆开外壳检查电机连接线是否松动。客户表示现场无人无法检查，会将机器人删除并带回。客户补充今年以来已发生9起电机离线错误，且之前尝试重新连接线缆均未解决。客服肖肖建议查看电机指示灯是否正常工作，客户表示返厂后确认。客服肖肖建议将手上坏的电机也寄回，以便研发分析检查。客户确认会集中发送无法通过线缆重连解决的电机，请求调查。,
2024-07-11 10:56:00,客户Badiane Alioune汇总了7月份在不同站点发生的7起电机离线错误（包括多台机器人），并请求紧急提供电机备件，因为所有相关传送带都未满一年保修期。,客服肖肖和Andy接收信息。泰田（客户）补充了GB站点3台CB30电机离线（251012/103046/91226）的具体现象和视频。客服肖肖要求泰田对91226尝试交换电机线看能否亮，泰田回复不亮电机手动转动很重。客服肖肖要求泰田对其他两台机器人也进行录制视频和转动电机检查。问题解决过程是持续的调查和协调。,
2024-07-11 11:28:00,如果RAPIDS Core Service日志中未获取到充电情况的日志，询问需要修改哪个项目才能获取。同时询问低电量警告日志中AGV ID不明，此修改是否能让ID保留。,客服肖肖指出json文件中某个设置启用后会输出机器人充电日志。客服肖肖回复机器人电量低时，error日志中会有ID记录。客户表示了解并感谢。,
2024-07-11 15:33:00,新的皮带导向部件由于材料改变而容易破裂。客户补充可能是放置30kg物品时框架会碰到导向部件。,客服肖肖转达给周望标。客服周望标确认负载30kg后图中红色圈出的地方会碰到一起。客服周望标建议现场临时措施是松开螺丝将导向块向上固定，后续处理方式可能是减小导向块尺寸增加与框架的间隙。客户表示了解并感谢。,
2024-07-11 16:47:00,客户浅田询问与感应相关联的灯光设置是否在JSON文件中，以及是否可以关闭错误时的声音。,客服肖肖询问是颜色还是其他设置，以及此塔灯用途。客户询问是否可以关闭错误时的声音。客服肖肖询问定制了什么功能及声音来源。客户随后表示已解决，并补充声音来自灯光内置扬声器。客服Andy纠正此界面是设置LBPOEEnd的塔灯，客户可能在测试LBPOEEnd。,
2024-07-11 17:44:00,客户Badiane Alioune报告现场多台机器人在图示位置冻结在初始化状态。,客户补充没有RFID问题，因为机器人可以读取。客服肖肖询问是否更换地毯但未扫描。客户回复尚未。客服肖肖指出码文件中搜索不到此RFID，并指出机器人所在位置更换过地毯但未扫描。客服肖肖询问客户是否会找到机器人实际位置，确认地图坐标，然后将新RFID数值更换到locate文件。客户在18:17:18回复已修复并感谢。,
2024-07-12 10:35:00,西浓运输现场，前几天更新了灯条版本后，今天仍出现商品已满但没有满载反应的情况。客户正在确认是否能拍摄现场视频。,客服肖肖询问现场如何恢复的。客户回复“用手遮挡也没有反应的灯条”具体改善原因不明，但“满载后取走商品灯条不熄灭”可以通过手遮挡后再次满载来恢复。客服肖肖确认理解。客服肖肖建议如果再次出现，尽量保留环境并录制视频，联系客服查看，目前无具体坐标信息难以分析。客户表示了解。,
2024-07-12 10:36:00,客户浅田请求当天12:30（日本时间）更新Adastria现场的灯条到310版本。,客服肖肖确认可以更新。客户请求立即更新。客服肖肖尝试更新时发现灯条电源盒离线，无法操作，确认是设备未通电。客户确认现场无人，故改期。,
2024-07-12 15:06:00,客户Badiane Alioune请求调查AP通信状态问题。,客服肖肖转由LB-Louis-陈振林处理。客服远程连接后询问现场是否发生冲突事故，客户否认。客服安装测试工具，进行30分钟随机运行测试。客服Jacky解释“Poor”为内部工具显示，实际无冲突可忽略。客服Jacky发现从车辆服务到AP的网络测试存在高延迟和丢包，建议检查RCSPC到AP之间的硬件设备（Hub或电缆等）。客服LB-Louis-陈振林补充4个AP中有3个干扰严重，导致成功率低。客户表示会自行调查现场周边设备。,
2024-07-16 10:28:00,Onedays现场，今天9:08左右发生了交通堵塞，请求调查发生原因。,客服肖肖请求日志。客户提供日志。客服肖肖分析日志后怀疑机器人电量不足导致关机。客户表示了解，可能是前一天RCS在分拣模式下被放置，今天直接使用。客户确认目前所有机器人已充电。,
2024-07-16 11:49:00,双电机大型车ID: 103046启动时303电机离线错误多发，指示灯红色闪烁，请求继续调查。,客服肖肖请求远程查看。客户提供截图。客服肖肖询问是否进行过操作，客户回复未进行任何操作，只进行了2次电机注册后离线。客服肖肖要求再次注册，并录制视频。客服肖肖建议关闭机器人电源1分钟再开机，然后操作注册电机。客户执行。客服肖肖要求直接使用按键让皮带来回转动，查看电机是否可以转动。客户确认可以转动。客服肖肖询问两个电机是否都可转动，客户确认都可转动但方向相反。客服肖肖指出现在有一个电机离线，客户确认两个都在转。客服肖肖建议交换两个电机连接线到主板上的位置。客户表示了解，会交换连接器位置并当天结束处理。,
2024-07-16 13:22:00,客户浅田请求提供双电机大型车的传送带电机备件。客户解释是由于多台电机离线，需要配件维修，且部分传送带未满一年保修期。,客服Andy补充说明问题背景。客户提供离线错误的部件编号，并确认只需更换黑色电机。客户说明新进口的皮带传送带安装在旧AGV上，因此只有皮带传送带在保修期内，并提出了部件管理和保修判断的疑问。客服Andy回复备件下周五可到立镖。客服吴婷回复新材料车底盘尚未测试完成，将继续提供现有库存的正常车底盘。客服LB-Louis-陈振林回复部分机器人已过质保期，无法免费提供底盘，需联系商务购买。,
2024-07-17 09:02:00,客户反馈已更换连接器位置，并继续请求昨日的协助。随后补充道皮带电机正在持续旋转，且该电机（电机1）是客户在7月12日用一个经测试可用的电机更换的。,客服首先询问皮带电机是否在动，客户确认在动且持续转动。客服提醒客户皮带电机不能随便更换，两台电机有对应编号。客户再次澄清已更换电机1。客服要求客户拍照并提供电机编号，但后续由另一客服确认出货电机上没有编号标识。客服随后指导客户断开电机连接线以确认问题是否出在该电机上。客户操作后客服又询问机器人电源是否关闭，客户打开电源。接着，客服询问客户是否有USB转CAN设备，客户确认有并连接。客服要求客户拍照确认连接方式，指出连接不正确，电机没有供电。客服指导客户找到并连接电机供电设备。确认连接正确后，客服让客户将电机重新连接到机器人上并尝试注册。客户确认电机已在线。客服指导客户将皮带部分安装好并进行随机运行测试。客户后续反馈随机运行已可进行，并感谢客服支持。,
2024-07-17 11:11:00,客户报告减速机附带的底盘损坏，询问是否可以寄送一个新的底盘，机器人ID为152079。,客服确认收到请求并表示会检查小车信息。客服进一步要求客户确认10辆小车中有多少是双皮带电机，如果是，是几号电机离线。客户提供了图片。客服确认订单后回复客户，机器人152079已过质保期，无法免费提供底盘，若需要可联系商务购买。,
2024-07-17 14:14:00,客户询问托盘速度的推荐值。,客服提供推荐值：翻板机器人最大速度和加速度均为4000（根据现场调整）；皮带机器人最大速度和加速度均为3000（根据现场调整，重货可调至2000左右）。客户确认收到并感谢。,
2024-07-17 16:59:00,客户反馈机器人216117的陀螺仪反复显示离线，询问处理方法，该机器人是托盘式小型车。,客服确认是托盘车，并直接指出需要更换霍尔板，表示之前已检查过该车。客户确认并表示会进行更换。,
2024-07-19 09:08:00,客户反馈机器人160183的一个轮胎电机离线，询问是否可以通过重写固件恢复。,客服询问客户已做过的操作以及电机指示灯是否亮。客户确认指示灯熄灭。客服建议更换连接线和主板上的CAN接口。客户尝试后问题依旧，再次确认指示灯熄灭。客服判断电机已损坏，无法远程查看，建议更换电机。客户确认。之后客户反馈更换轮胎电机后，机器人恢复正常。,
2024-07-19 10:38:00,客户请求检查机器人207185，该机器人的输送带电机离线。,客服提供通用排查步骤：如果电机指示灯不亮，尝试与正常电机交换连接线和CAN接口测试，如果仍不亮则更换电机，因为指示灯不亮表示电机本身无法工作。客户表示会进行更换，并请求在保修期内（IC:20231106）提供配件。客服将此请求转达给另一位同事跟进。,
2024-07-22 08:54:00,客户询问是否可以在验证用PC上安装『Tray With Sensor Tool』工具，以便检查一个故障传感器（因电缆未断裂）。,客服指导客户在JSON文件中将机器人类型设置为CrossbeltWithSensor并重启RCS，如果找不到该选项则联系客服更新RCS。客户反馈操作成功并感谢。,
2024-07-22 09:51:00,客户请求调查AGV 216117的“无描述错误”问题。,客服确认收到请求，并诊断出机器人霍尔板有问题，需要更换霍尔板。客户确认并感谢。,
2024-07-22 10:33:00,客户请求将满载传感器（灯条）的版本更新至310。,客服确认可以更新。在更新过程中，客户询问备用RCSPC是否需要数据复制。客服解释灯条固件写入灯条本身，无需操作备用机。客户随后提出RCS结束时是否自动关闭Packet Control，并希望设置自动关闭。客服进行排查，发现客户桌面快捷方式是新版本，但RCS自动启动的是旧版本，怀疑有人更新了灯条程序但忘记修改RCS自动启动配置。后经另一客户中野澄清，新程序因安全问题被客户的防火墙阻止，故仍在使用旧程序。客服确认灯条固件更新完成，但程序未操作更新，并提示客户可以使用桌面上的新版本查看是否有问题。,
2024-07-22 13:20:00,客户报告AGV 251094（一年内进口）的单侧电机离线，需要更换部件，并请求在保修期内（IC:20240115-03）发货输送带电机。,客服询问客户是否要补发配件。客户确认。客服指出他们的同事一直在尝试联系客户确认机器人信息，但没有统一回复，建议客户确认好所有机器人信息后与该同事联系。,
2024-07-23 11:17:00,客户请求将灯条版本更改为310，并在更改版本前检查AP的通信状态。,客服确认并进行操作。灯条更新完成后，客户报告已重启HUB并重插AP网线。客服发现AP信道干扰严重，建议调整。客户询问是否再次出现干扰，客服解释需根据现场环境判断。客户请求调整，客服让其随机运行观察。客户随后报告灯条在无物品时也发光。客服让客户尝试挡住对面的灯条，客户发现中间无反应，怀疑是传感器相互干扰。客服确认是干扰问题，并建议录制对比视频，以及观察正常放箱子后的干扰情况。客户确认放箱子后正常。客服与研发沟通后，解释灯条相互干扰和超近距离检测两种情况数据相似导致功能冲突，建议在灯条中间放置遮挡物以避免相互干扰。客户表示会告知客户在不使用时在灯条相对位置放置空箱。,
2024-07-23 13:07:00,客户反馈一个轮胎电机没有响应，红色指示灯亮起，询问是否需要更换电机。,客服表示会远程查看具体报错，并询问客户是否做过操作。客户告知已重插连接器、复位、重新注册等操作。客服让客户拔掉所有电机进行检查。客服诊断可能电源板或BMSP有问题，程序无法读取正确电压，建议客户尝试更换这两个配件。客户表示会带回维修室更换。,
2024-07-23 13:41:00,客户报告CB30上的电机1离线，请求协助。,客服询问电机指示灯情况，客户回复指示灯闪烁。客服询问客户是否更换过电机，客户确认。客服要求录制皮带内两个电机的视频。客服确认是之前更换的电机后，指导客户将该电机像上次一样通过USB转CAN连接到电脑，并拍照确认连接。确认安全后，客服指导客户将电机装回皮带并尝试注册。客户确认电机已在线。客服指导客户安装皮带并进行随机测试。,
2024-07-23 15:56:00,客户报告另一台机器人ID 251012在运行中频繁出现电机离线，请求检查。,客服询问电机离线后是否自动恢复，客户确认会自动恢复。客服询问该机器人是否也自行更换过皮带电机且未进行USB转CAN操作，客户澄清该机器人是从现场取回的，未更换电机。客服远程尝试操作皮带转动，询问是否执行，客户反馈时而转动时而不转动，错误发生时未转动。客服建议打开机器人皮带部分检查电机情况。客户表示将明天检查电机并再次寻求支持。,
2024-07-24 09:44:00,客户反馈AGV 91212出现充电故障，请求检查。,客服询问充电桩其他机器人是否能正常充电，客户确认可以。客服询问该机器人去充电时的电量，客户提供了电压值。客服建议打磨机器人的充电极板。客户表示已用湿巾擦拭，无污垢，询问是否需要用砂纸打磨。,
2024-07-24 10:40:00,客户询问是否可以设置Packet Control发送关闭命令。,客服告知当前版本不支持此功能。客户询问哪个版本支持，并说明新版本因安全问题无法使用。客服告知4.9.2版本支持。客户确认PC上有4.8.4和4.9.2两个版本，并指出使用4.9.2版本在RCS启动时会触发防火墙弹窗。客服确认防火墙未关闭。客户同意更换至4.9.2版本，并请求将旧版本文件复制到新版本。客服在处理完其他优先问题后，进行版本更新和文件复制，并关闭了新版本程序中的防火墙检测开关（而非防火墙本身）。客服指导客户备份和使用新文件，并提醒发货口名称需要使用已配置的名称进行设置。客户确认设置完成并感谢。,
2024-07-24 10:58:00,客户反馈设置回收机器人通过感应识别机器人时效果不佳，请求调查。,客服询问是否是指指定机器人去对应的发货口，客户确认。客服在完成其他任务后，告知客户设置已完成，并提醒配置中需使用发货口名称进行设置。客户确认并感谢。,
2024-07-24 13:08:00,客户询问AGV充电器是否可以将5330A更改为5330C型号，并询问需要哪些部件。客户说明现场有6个5330A和6个5330C充电器，希望统一型号。,客服首先澄清转换方向（A到C或C到A）。客服指出C到A转换较方便，而A到C则需额外采购防火罩。客服告知需要更换3样东西，并指出充电嘴可直接更换。客户理解并请求提供这些部件的清单或零件号。客服向内部同事询问是否有爆炸图，并表示如果没有将提供零件清单（可能无法一一对应），随后另一位同事确认没有爆炸图，将安排出一份。,
2024-07-24 15:21:00,客户反馈机器人在运行时频繁出现303错误，请求检查。,客服确认收到。客户提供电机状态图片，客服要求提供更长的视频。客户提供。客服让客户打开电源。客服确认连接后，询问远程发送的皮带转动命令是否执行，客户确认已执行两次。客服让客户拧上螺丝但皮带暂不安装，客户照做后确认机器人正常运行。客服确认。,
2024-07-24 17:10:00,"客户报告现场发生交通堵塞，原因是前往同一分拣口（A060，坐标31,8）的AGV和试图返回感应区的AGV之间冲突，请求检查逻辑或地图是否有需要修改的地方，并提供了日志和地图数据。",客服诊断是同时前往一个分拣口的机器人太多导致堵塞，需要调整地图限制同时前往的数量。客服建议限制为4台，并提供修改后的地图和JSON文件，要求客户备份原文件后使用新文件。客服还指出地图中停车区设计不合理，导致阻碍主干道，应从前方绕行卸货，这也是此次拥堵的原因。客户确认了grid的修改和优化。第二天客户确认了分拣口组的进入数已限制为4。,
2024-07-25 13:05:00,客户询问Packet Control应用程序的启动和退出历史是否会保留。,客服确认日志会有启动和退出的记录。客户尝试根据日志判断启动时间，客服进行了指导并提供了关键词。客户确认找到了启动时间，并指出退出时间是前一天。客户接着询问今日Packet Control为何未正常自动启动，尽管RCS已设置自动启动。客服尝试手动退出发现无日志。客服判断程序可能启动后崩溃，导致未完成启动，并请研发分析。由于这是首次出现此情况，客服建议客户继续观察，如果再次出现再反馈。,
2024-07-26 09:08:00,客户请求将RCS版本从4.01.11升级到4.03.09。,客服确认可以升级。在升级前，另一客户报告同现场的地图扫描时RCS应用程序崩溃问题。客服诊断是RCS主程序与地图扫描模块版本过老不兼容，建议直接使用新版本。客服告知该现场无法直接升级到4.03.09，因API协议不兼容，将尝试更新到4.02.00。客户请求在更新前备份当前RCS。客服完成备份和RCS更新后，确认了更新完成。,
2024-07-26 15:55:00,客户请求更改机器人感应位置（induction location）的姿态，并附带图片，后说明机器人撞到了货架。,客服询问客户是否是想修改发货口翻板的方向，客户确认。客服指出180度是没问题的，并询问是否可以进行随机运行。客户确认。客户报告机器人撞到了货架。客服询问小车是否在发货口位置以及是否与货架发生碰撞，客户确认。客服表示将进行仿真测试小车朝向，随后得出结论应该是设置90度朝向。客户回复已更改为90度。,
2024-07-26 17:18:00,客户询问如何注册Libiao Scanner应用程序，需要编辑哪个文件，因为他们正在安装PC和RFID阅读器用于所有感应点，且有旧员工提到很久以前输入过IP地址。,客服询问是否是配置扫描软件，客户确认。客服指出MGL的工作人员有相关的软件，联系人是木村理。客户表示木村理也忘记了。客服建议等待RFID读卡器和电脑安装完毕后，他们将协助进行配置，并告知支持RFID读卡器的软件是立镖开发的。,
2024-07-29 09:37:00,客户询问AP天线是否可以安装在PVC板上。,客服建议使用防静电绝缘套。客户确认收到并感谢。,
2024-07-29 10:47:00,客户询问仓库内的通信环境是否会影响AP的成功率下降。,客服建议检查信道是否有干扰，并解释AP在空旷环境下半径30米通信，60米理论上不干扰。客户询问AP的RCS不常使用是否有关。客服建议客户开启随机运行，清除统计数据，运行15分钟后再次查看成功率。客户操作后确认成功率稳定。客服解释刚开机和关机时统计次数较少，会导致成功率显示较低。客户理解并感谢。,
2024-07-29 15:33:00,客户报告减速机附带的底盘损坏，询问是否可以寄送一个新的底盘，机器人ID为148125。,客服回复客户，机器人148125已过质保期，无法免费提供底盘，若需要可联系商务购买。客户感谢并表示决定后会再次联系。,
2024-07-30 09:56:00,客户在新现场（Mitsubishi Misato）扫描地毯时，AGV丢失位置。客户已尝试电机复位、注册电机等操作但无效。现场网络信号弱。,"客服Jacky首先指导客户检查并更换(25,3)、(27,1)和(26,1)位置可能损坏的RFID地毯。问题未解决后，客服LB-Leo指出可能是霍尔板问题。客服Jacky和肖肖接着要求客户提供AP配置和信道信息，并发现两个平台的信道列表相同。客服Jacky指导客户不同平台信道必须不同，并指导客户删除定位文件后重新扫描地图。客户确认问题解决。",
2024-07-31 09:19:00,新站点设备（灯条）出现问题，客户询问是否为初期不良。,客服肖肖要求客户录制通电视频、尝试断电重上电。客服肖肖根据现象判断是中间灯珠损坏。客户表示同意并准备用备用件更换。,
2024-07-31 09:47:00,在MGL东浜站点，分拣运行时容易出现交通堵塞，尤其在各个料槽组的出入口附近，AGV等待时间较长，希望通过修改地图或逻辑来改善。,客服肖肖要求客户提供场地文件进行地图优化，并建议先尝试修改同一料槽组或同一料槽的AGV数量限制（客户后来修改为料槽组10台，料槽4台，但效果不佳）。客服LB-Louis-陈振林和倪里特通过优化地图（减少指根部通道，增加手指回流路线到两条）和增加AP信道数量（从4个增至8个）来优化AGV调度和通讯，最终使实际随机跑产量达到6500，问题得到改善。,
2024-07-31 10:34:00,客户收到新的RFID板，发现上面没有通常附带的银色胶带，担心影响使用。,客服肖肖初步表示未看出问题，后经确认，银色胶带用于减少干扰。客服建议客户从旧板上取下胶带贴到新板上，如果无法操作则安排补发。后续客服LB-Louis-陈振林也确认了此信息。,
2024-07-31 11:02:00,客户希望将新站点的灯条固件更新到310版本，并调整灯条的满包反应速度和检测距离。表示远程操作困难。,客服肖肖确认固件版本兼容性后，客户完成了固件升级。随后，客服肖肖远程修改灯条程序中的Lan2CanList.json文件，将检测距离从50cm调整到43cm，触发满包时间从2s调整到1s。客户测试后确认效果良好。客户还咨询了传感器角度调整方法，客服进行了指导。,
2024-08-02 17:17:00,客户反馈在某个现场，AGV在执行任务时会关机，但通常有任务的AGV不会关机。请求客服检查设置。现场网络不好，远程连接困难。,客服Jacky尝试远程连接，但因网络问题反复失败。客户提供JSON文件，客服检查后认为配置正常。由于客户无法提供具体AGV编号，客服Jacky要求客户未来记录AGV编号，并表示会根据大致时间范围检查日志进行调查。,
2024-08-05 14:10:00,在MGL北茨木站点，AGV在扫描商品后启动存在延迟。,客服LB-Louis-陈振林远程检查RCS日志，发现在RCS端从收到信息到发出AGV指令都在1秒内完成，判断延迟问题可能不在此处。客户尝试获取扫描台日志但失败。现场AP连接也存在问题。问题原因尚未明确解决。,
2024-08-06 14:51:00,在安川电机现场，AGV进行随机运行时发生位置偏移错误。,客服Jacky指导客户重新校准霍尔板，但问题仍存在。客服诊断现场AP信号干扰严重，导致小车通信受影响。客户尝试调整AP位置但未完全改善。最终客服建议并指导客户将信道64更改为其他信道（如72），通信得到改善。客服确认信道64可能被占用。,
2024-08-07 09:57:00,在ZOZO站点，AP（Access Point）通信状况不佳。,客服Jacky诊断现场环境对AP信号干扰严重，并指出AP布局不平均，建议增加AP。客户尝试调整AP位置但未改善。由于远程网络卡顿，客服指导客户自行修改配置文件，将信道64更改为其他信道（如72）。客户确认修改信道后，通信得到改善。客服确认信道64可能被占用。,
2024-08-07 15:38:00,充电桩的螺丝拧不进去（中途卡住）。后续发现电缆护套破裂，怀疑是螺纹加工不足或电缆被夹。,客户通过自行切割螺纹修复了螺丝拧不进的问题。客服LB-Louis-陈振林确认了螺丝问题已解决的原因，并表示会补发电缆。客服还询问是否可以寄送端子头进行更换电缆。,
2024-08-07 15:47:00,在安川电机现场，AGV在终端处被其他AGV阻挡，导致接近死锁状态。因AGV上载箱子比PVC板大，无法设置“禁止临时停车”指令，增加了调度复杂性。,客户通过手动磁力线操作AGV解决死锁。客服LB-Louis-陈振林已联系RCS开发人员（Ni）分析此特殊地图下的调度策略问题。客服表示地图本身无法修改，会尝试改进RCS调度策略，但具体完成时间待定。,
2024-08-08 13:57:00,在MGL四街道2F站点，共4个AP连接信号弱（成功率约70-80%），尤其在启动随机跑时。,客户自行重启RCS后成功率提高。客服LB-Louis-陈振林远程添加了信道，使通讯成功率显著提高。客服解释了AGV所需信道数量和信道覆盖范围。,
2024-08-08 15:20:00,在某现场，配备传感器的AGV未能识别其顶部放置的箱子，导致AGV带着箱子进入有顶棚的充电站，箱子掉落。,客服LB-Louis-陈振林通过日志分析，确认问题原因是：AGV在任务未完成且有箱子的情况下，车服关闭导致任务丢失。车服重启后AGV不知道自己有箱子，从而带箱子去充电。客户询问是否可增加RCS重启时箱子持有状态的数据恢复功能，客服表示需与R&D讨论。,
2024-08-09 15:52:00,编号为99105的机器人无法启动。客户后续发现149-069也存在偏移运行并自动停止的问题。,客服Jacky将RCS模式从分拣改为随机模式后，99105机器人启动，并解释了分拣模式下AGV启动的条件。后续检查149-069，并确认两台AGV都已恢复正常。客户反馈偏移运行问题，客服要求提供视频，但问题在当天结束前似乎自行解决，客户表示会后续再次检查。,
2024-08-13 14:21:00,客户反映AGV未将货物卸载到3D分拣机上，请求调查原因。,客服Jacky检查后，发现AGV发生堵塞，重置了小车任务。经确认，AGV未能卸货是由于残留了与当前货架不匹配的任务。客户确认分拣恢复正常后，客服进一步查询了堵塞时被重置的任务详情及目的地。,
2024-08-14 11:05:00,客户询问先前反馈问题的进展，该问题表现为AGV（88209）在关西GW站点似乎未能成功接收任务86608。后续调查确认RCS存在缺陷，导致AGV在接收任务成功的同时又主动发起任务请求，从而取消了已接收的任务。,客服倪里特通过日志调查确认RCS存在缺陷，导致系统主动请求任务并取消现有任务。问题修复已完成，计划在更新RCS后进行分拣测试。客服解释了缺陷细节：RCS有时会错误地主动请求任务，与WCS下发的任务产生冲突。客户确认了故障发生的原因和修复方案，并询问了其他站点是否需要更新，客服确认如使用相同RCS则需更新。客户请求获取修复后的RCS文件用于模拟测试。,
2024-08-14 13:57:00,客户反映AGV 99089的轮胎电机无法正常注册，进行电机校准后无法控制轮胎。,客服Jacky远程连接检查。发现AGV电压低，建议先充电。客户充电后，客服通过执行“motor zero”操作使电机恢复正常。,
2024-08-14 15:14:00,客户反映AGV 149069在行驶中打滑，出现位置偏差并过冲停止。,,
2024-08-15 16:45:00,客户报告在关西GW站点，AGV 88209似乎未能成功接收任务86608。,客服倪里特要求客户提供相关日志进行调查。此问题后续被确认为RCS缺陷（详见2024-08-14 11:05:54的问题描述及解决过程），修复完成后将进行现场更新和测试。,
2024-08-20 16:05:00,客户反映AGV在客户分拣作业中停止移动。经客户初步排查，发现是待机队列溢出的AGV堵塞了通道，且当前地图的待机和排队位置不足，可能导致问题反复发生。,客服汪昌春远程连接检查，客户已自行通过修改地图（增加一个停车位）解决了问题。客户询问了关于JSON文件中Queue相关信息（IsInductionQueueLengthEnabled）的疑问，客服进行了解答。,
2024-08-20 17:27:00,客户报告发生交通堵塞，怀疑是充电器出入口与前往入库口的路径重叠导致。,客服汪昌春确认并请求客户提供平台信息以便查看地图。客服远程修改了充电口的路线配置并更新了grid文件。客户表示次日将进行文件更新并确认。,
2024-08-22 10:47:00,客户报告在山善站点，机器人无法从入库口启动并停止。,"客服Jacky远程连接检查，发现地图中存在无法到达的路径（[32, 4]到[5, 2]以及[32, 3]到[6, 2]）。客服修改了地图路径。为避免影响客户作业，客户手动分拣了受影响的2台AGV上的货物。客服替换了修改后的地图并重启了RCS应用程序。最终，机器人恢复正常分拣操作。",
2024-08-23 11:56:00,客户反映承载30kg货物的AGV在载货或行驶过程中因冲击导致电容器脱落，大型AGV主板和电容器板上的电容器都曾脱落。,客服肖肖和木（周望标）讨论了原因，排除了碰撞可能，怀疑是焊接问题。客户按要求移除了脱落的电容器并提供了照片。客服肖肖后续要求将电容板寄回进行分析。,
2024-08-23 13:17:00,客户报告MGL千叶北站点电梯出现故障，具体表现为电梯自行关闭并因错误触发紧急停止，且界面显示“X”符号不明原因。,客服Jacky远程检查日志，发现故障发生在特定时间点。客服尝试打开电梯并请客户确认，怀疑电梯被RCS关闭。客户测试随机行驶后，电梯再次因错误关闭并紧急停止。客服肖肖进一步检查，发现无法ping通电梯IP，怀疑网线连接异常。由于现场无人可操作，问题暂定为后续处理。,
2024-08-23 16:17:00,客户反映输送带似乎反向运行。,客服Jacky远程检查日志，确认受影响的AGV为141221，并询问问题是否只发生了一次，以及货物重量。客服还要求客户提供监控录像以进一步确认皮带运动方向和货物掉落情况。客户回复无法确定皮带旋转方向，需要现场确认。,
2024-08-26 08:39:00,客户询问满包检测传感器界面上“info”的含义。,客服肖肖指出是中间连接断开导致，客户确认问题已解决。,
2024-08-26 09:13:00,客户请求将满包检测传感器版本从30F升级到310。,客服肖肖和Jacky远程进行了升级，成功完成了第一个系统的升级。但在尝试升级第二个系统时，客服发现灯条连接存在问题，告知客户需先处理连接问题才能继续升级。客户表示将等待线缆到达后处理。次日，客户再次请求升级，客服Jacky远程协助完成了第二个系统的升级。,
2024-08-26 14:06:00,客户就螺丝生锈问题询问包装前的确认项目清单，以讨论项目变更。此外，还提出了关于外壳部件更换、电机FF问题复现与方案、满箱灯条电源线替代以及日本机器人动作确认列表等多项会后跟进事项。,客服吴婷提供了相关项目订单信息，并解释了现有交付前确认项目列表，表示如果客户需要增加检验部件可新增到表单。客服Andy针对部分技术问题（如4芯线替代2芯线、mini电机型号）进行了确认和回复。,
2024-08-28 14:04:00,客户反映满包传感器相互干扰，请求调整检测距离。客户澄清该现场仅使用WES的理论满包功能（按预设数量亮灯），不使用物理满包检测，因此希望检测距离尽可能短，且传感器角度略微向上。,客服肖肖首先建议通过摆放纸箱来处理，后理解客户需求为：仅需WES控制灯条亮灭，不需传感器检测商品满包，且当前问题是灯条相互干扰。客服肖肖尝试将传感器检测角度调高，检测距离缩短至1cm。客户确认干扰问题已解决。客服肖肖表示会继续观察两黄灯问题。,
2024-08-29 11:25:00,客户报告站点地图上设置的两个入库口，AGV倾向于集中到其中一个（红色标记），请求调整地图以使AGV更均衡地分配到两个入库口。,客服肖肖调整了地图参数，并提供了新的JSON文件，仿真显示AGV分布已趋于均衡。客户确认将进行测试。,
