dispose_type_name,dispose_content,解决方案,备注
换货,"故障：小车无法充电
原因：电源板故障，无法充电
处理：更换电源板",,
换货,"故障：小车无法充电
原因：电源板故障，无法充电
处理：更换电源板",,
换货,"故障：小车无法充电
原因：电源板故障，无法充电
处理：更换电源板",,
换货,"故障：小车报警灯一直闪烁
原因：一直提示4459，No Description
处理：霍尔校准无效，更换霍尔板后正常",,
快速处理,"故障：机器人130111无法注册
原因：BMSP板插针氧化，导致电机注册失败
处理：清除氧化物",,
换货,"故障：130101小车无法充电
原因：电源板故障，无法充电,电源板极柱和上极板有电压
处理：更换电源板",,
换货,"故障：130130小车无法充电
原因：电源板故障，无法充电,电源板极柱和上极板有电压
处理：更换电源板",,
换货,"故障：129232小车无法充电
原因：电源板故障，无法充电,电源板极柱和上极板有电压
处理：更换电源板",,
快速处理,"故障：129070、129061、129069、129059、129054、130111小车翻板电机固定处塑料断裂
原因：人员提起或其他因素导致
处理：用铁丝固定翻板电机",,
换货,故障：1号电机离线     原因：电机故障（通电后指示灯在亮，但不会转动）    处理：更换新电机,,
快速处理,"现象：四号线8号分拣机4，5号电机离线
问题：坦克链上端线束被扯掉
处理：重新插紧，并捆绑轧带",,
换货,车号：113202    故障：霍尔板离线    原因：霍尔板故障    处理：更换新霍尔板,,
换货,车号：116028  故障：小车不会执行卸货动作   原因：翻板电机离线    处理：更换新电机,,
换货,车号：116082  故障：翻板电机离线及减速器翻转卡死     原因：翻板电机及减速器故障    处理：更换新电机及减速器,,
换货,车号：113171    故障：小车开不了机     原因：电极板孔口打了螺丝上不紧导致接触不良   处理：更换新电源板,,
换货,故障：4号电机离线    原因电机故障   处理;更换新电机,,
换货,故障：小车底盘破损运行不了 原因：多方面因素怀疑是（质量问题、使用方处理故障小车都是拿着翻板位置抱起小车拿下来的受力点都在翻板电机处底部时间久了容易开裂）处理：更换新底盘,,
换货,"故障：格口满包没有回传数据
原因：灯条故障
处理;更换维修",,
快速处理,"问题：轨道机定位异常，出现撞挡边现象
原因：观察排查到4号电机心跳异常导致
处理：将二期电机交换过来，换下来的电机由肖处理",,
换货,故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,故障：3D分拣机运行不了、4号电机离线    原因：LCD控制器故障  处理：更换新LCD控制器,,
换货,车号：115036 、115039  故障：小车不会卸货  原因： 翻板电机离线  处理：更换新翻板电机,,
换货,"车号：197064、197120  故障：运行中一直提示报告错误码444E及4455：没有描述  原因：霍尔板故障 
处理：更换霍尔板",,
换货,故障：434格口打开不了  原因：连接线卡扣没了，接触不到    处理：更换新灯条按钮盒连接线,,
换货,故障：3D分拣机运行失败    原因：3D分拣机黑屏 处理：更换新LCD控制盒,,
快速处理,"现象：21219小车急停，撞车，与轨道机相装
问题：左轮电机自动旋转，重启，重新注册无效果
处理:从170126小车上拆电机更换
",,
快速处理,"问题：小车感应不了箱子
原因：小车感应器异常
处理：将实验车感应器拆下对换",,
快速处理,"现象：优衣库4号线21号分拣机无法运行
问题：分拣机Y轴皮带断裂
处理：皮带进行更换",,
换货,车号：197135  故障：运行中一直提示报告错误码4466没有描述   原因：霍尔板故障 处理：更换霍尔板,,
换货,车号：113020 故障：小车按键脱落   原因：现场反馈小车碰撞脱落了   处理：更换新按键板,,
换货,4-1-1设备 12号分拣机 故障：分拣机不会卸货、5号电机离线    原来：电机故障（指示灯都不亮了）处理更换新电机,,
换货,故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
快速处理,"问题：L1-06-A轨道机报警
原因：坦克链被压下面
处理：更换新坦克链",,
快速处理,"故障：小车故障灯常亮，急停
原因：霍尔板U20芯片故障
处理: 更换U20芯片后正常
",,
运维,ap能ping通，但车服上显示是离线,"1.查看rcs电脑防火墙是否打开
  -是：关闭防火墙
  -否：进入步骤2
2.检查ap外壳是否和金属有直接接触
  -是：把ap外壳进行绝缘
  -否：进入步骤3
3.断电重启ap是否恢复
  -是：问题解决
  -否：联系专业的售后技术人员处理",
运维,小车皮带转动数量少，导致卸不了货并货物在皮带上来回。,1.打开rcs的Platforms文件中的json文件，增大皮带转动值到合适的位置（不能过大）,
快速处理,"故障：4号线14号分拣机4，5号电机过载
原因：联轴器卡住，皮带不动
处理：松掉固定联轴器螺丝，重新紧固恢复正常",,
换货,"故障：网络不通
原因：AP坏了
处理：已更换维修",,
换货,"故障：灯不亮
原因：电路板坏
处理：更换电路板",,
换货,8号分拣机   故障：提示3号电机离线   原因：3号电机故障（指示灯都不亮了）处理：更换新3号电机,,
换货,8号分拣机  故障：分拣机彩虹灯拔出货架及分拣完成时没有灯光提示   原因：彩虹灯故障   处理：更换新彩虹灯,,
换货,"故障：129066B按键板B键灯不亮
原因：按键板坏了
处理：更换按键板",,
换货,"故障：130198小车无法充电
原因：电源板故障，无法充电,电源板极柱和上极板有电压
处理：更换电源板",,
快速处理,"故障：129066 130115 130198 129097 128227 130188 129232
原因：小车主动轮电机固定螺丝松动，导致小车急停
处理：更换固定螺丝",,
快速处理,"1.充电口有油渍，对充电口进行处理。
2.场地坏境潮湿，导致螺丝生锈无法拆除。已建议场地环境尽快做防潮湿处理
3.魔毯破损严重，对部分魔毯更换，已建议客户更换魔毯。",,
快速处理,"故障：3号线16号分拣机机异常
原因：CAN线接触不良导致短路
处理：检查线路，重新插拔CAN线恢复",,
快速处理,"故障：4号线15号分拣机显示4.5号电机离线
原因：CAN线接触不良
处理：检查线路，插拔CAN线后恢复",,
换货,故障：X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,车号：194196 故障：频繁发生急停故障 提示目的地无地毯定位  原因：霍尔板故障  处理：更换新霍尔板车号：193153 故障：运行中一直提示报告错误码447B  原因：霍尔板故障  处理：更换新霍尔板,,
换货,故障：现场反馈439格口料箱满了灯条不会亮红灯关闭格口  原因：灯条故障  处理：更换新灯条,,
换货,故障：X滑块 上、下轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,故障：导向块损坏   原因：放货架时被操作员撞坏的   处理：更换新导向块,,
换货,故障：分拣机4/5号电机离线  原因：扁线灰色线断链（原因未知、现场观察坦克链已脱落）更换扁线,,
快速处理,"故障：3号线下层车服开不了机
原因：电脑主板故障
处理：客户自己拆二号线电脑硬盘更换",,
换货,故障：导向块损坏（这款导向块质量不好，旧款的导向块至今一个都损坏过） 原因：放货架时被操作员撞坏的 处理：更换新导向块,,
换货,故障：分拣机输出板离线（设备上线不了）原因：输出板故障   处理：更换新输出板,,
换货,故障：电梯板单元电压不平衡（UNB）原因：电梯板故障  处理：更换新电梯板,,
换货,故障：第二套设备下层426、330格口灯条离线   原因：灯条故障   处理：更换新灯条,,
快速处理,"故障：机器人开机后相机无法启动，原地打转
原因：小车电脑板故障
处理：更换电脑板",,
换货,"故障：157185机器人充电异常（新项目，新车）
原因：机器人电机故障，使用旧电池，电池线柱断裂
处理：更换新电池模块组",,
运维,指定一种条码识别不出来,按照添加白名单的操作流程进行指引,
运维,RCS地图界面显示红×报错,"1.检查磁盘空间并进行整理
2.打开任务管理器查看哪个软件引起的资源占用异常，如果可删除则删除此软件
3.以上检查完毕后在现场不操作的情况下重启rcs软件",
快速处理,"故障：3号扫码台电脑开关故障
原因：开关线路不通，无法使用
措施：更换电源开关",,
换货,"故障：112213小车经常跑偏
原因：霍尔板出现问题
处理：更换霍尔板后已经恢复正常。",,
换货,"故障：112151小车翻板电机卸货后无法复位
原因：小车电池连接线螺丝松动，
处理：拧紧螺丝，更换翻板电机总成",,
快速处理,"故障：平台以前修补的地方磨损比较严重
原因：上次修补过的亚克力板磨损破裂了
处理：替换亚克力板，对磨损严重的地方补上亚克力板",,
换货,6-2-1设备 6号分拣机 故障：货架插入分拣机上识别不了货架信息 原因：读卡器故障  处理：更换新读卡器,,
快速处理,"问题：66161小车行走异常
处理：校准轮径之后正常",,
换货,"问题：73111在行驶过程中出现右轮解锁
原因：电机故障导致开机的时候会出现过电流导致解锁现象
处理：更换新电机之后正常了",,
换货,194124更换霍尔板,,
换货,124250更换霍尔板,,
换货,128175更换翻板电机,,
运维,相机只能识别条形码，无法同时识别二维码和条形码，svs中二维码已打开，但无法识别,"如在svs软件中已经打开了二维码设置则根据以下操作指引进行 
1.打开扫码软件中dahua.cfg文件找到二维码设置配置打开
",
运维,16051小车与ap断开连接,"1.检查机器人实际是否是开机状态
  -是：进入步骤2
  -否：进入步骤3
2.打开机器人查看无线通讯模块是否松动
  -是：插紧通讯模块
  -否：进入步骤4
3.机器人开机后再次尝试通讯是否成功
  -是：问题解决
  -否：进入步骤4，如无法开机则进入机器人无法开机操作步骤指引
4.更换一台正常机器人上的通讯模块进行交换查看是否正常
  -是：通讯模块损坏，更换通讯模块 
  -否：建议联系专业的售后技术人员处理",
换货,"故障1：扫码台急停按键不能使用
原因：急停按键损坏
处理：更换急停按键（3台）
故障2:147097小车左轮电机解锁
原因：电机板故障
处理：更换电机板
故障3:136203小车急停跑偏
原因:测试霍尔板温控不好
处理：更换霍尔板

",,
快速处理,"故障1：机器人出现急停
原因：平台木平台出现凹坑
处理：专用材料板修复
故障2:100121小车出现急停
原因：万向轮支架断裂
处理：更换万万向轮支架
",,
换货,108036更换电源板,,
换货,108036更换BMSP,,
换货,106199更换底盘,,
快速处理,108019校验霍尔后正常,,
换货,故障：438格口按钮盒打开格口失败 原因：灯条故障（右端连接口）处理：更换新灯条                         故障：636格口按钮盒打开格口失败 原因：WIR000854 CAN线 没了卡扣  处理：更换新WIR000854 CAN线,,
换货,"车号：197147、197088、197020                                                                                                            
故障  ：小车运行过程一直报错446C、4445、444B 无描述 原因：霍尔板故障  处理：更换霍尔板",,
快速处理,"问题：239小车无法充电
故障：量电压只有12v欠压导致无法冲电
处理：对电源施加24v电压，冲到18v即可正常充电",,
换货,"故障：112192小车无法充电
原因：电源板充电模块故障
处理：更换电源板
故障2：1号手指灯条时长离线
原因：电源盒故障
处理：更换电源盒
",,
换货,故障：车号：160103 输送框架固定螺丝及底盘的埋头螺母脱掉  原因：现场观察怀疑是处理故障小车时，操作员抓住提起小车输送框架摆正这个不规范动作，导致螺丝及螺母脱掉  处理：更换新底盘,,
换货,故障：30号分拣机插入货架彩虹灯白灯不会息灭   原因：彩虹灯故障    处理：更换彩虹灯,,
换货,故障：25号分拣机6号读卡器离线  原因：读卡器故障  处理;更换新读卡器,,
换货,故障：25号分拣机X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,故障：车号194196小车运行过程一直报错4476 无描述  原因：霍尔板故障  处理：更换新霍尔板,,
换货,故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,故障：4-1-3设备8号分拣机 输出板离线  原因：输出板故障  处理：更换新输出板,,
换货,故障：4-1-1设备 6 号分拣机及4-1-2设备12号分拣机  黑屏启动不了分拣机  原因：电梯板故障  处理：更换新电梯板,,
换货,"故障：车号105168 114118 小车开不了机 原因：BMSP板故障（保险丝烧坏） 处理：更换新BMSP板                

车号：105168更换好电源板及BMSP板、小车开机BMSP板灯了一下马上就熄灭了、联系肖侠驹帮忙检查原因是翻板电机短路 导致BMSP板保险丝烧坏、更换翻板电机后恢复正常  （排查过程中烧坏了4个BMSP板保险丝）",,
换货,故障：小车充不进电  原因：更换BMSP板时插错位置烧 板了  处理：更换新电源板,,
换货,故障：第三套设备675格口灯条按钮盒损坏  原因：给现场操作员拉叉车时撞损坏 处理：更换新按钮盒,,
换货,故障：车号193179 小车运行多次发生急停 错误码234 目的地无地毯定位   原因：霍尔板故障  处理：更换新霍尔板,,
换货,故障：车号72086 小车运行多次发生急停 错误码234 目的地无地毯定位  原因：霍尔板故障  处理：更换新霍尔板,,
换货,故障：72005 运行中多次在充电桩位置报 左电机离线   原因：BMSP板故障 处理：更换BMSP板,,
换货,故障：车号72092 开机失败 充不进电  原因：电池包故障  处理：更换新电池包,,
换货,故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,故障：3D分拣机启动不了（没电）  原因：电梯板故障   处理：更换新电梯板,,
换货,故障：分拣机LCD控制器黑屏  原因：LCD控制器故障  处理：更换LCD控制器,,
换货,故障：4-1-2设备  15-28号分拣机断电  原因：AC电源接口板故障 处理：更换AC电源接口板,,
换货,故障：6-1-3设备 30号分拣机提示3、4、5号电机离线   原因：HUB板故障  处理：更换新HUB板,,
换货,故障：小车底盘损坏  原因：减速器漏油（怀疑是腐蚀） 处理：更换新底盘,,
换货,故障：分拣机LCD控制器黑屏  原因：LCD控制器故障  处理：更换新LCD控制器,,
快速处理,"现象：六个按钮盒软件界面显示断开
原因：检测按钮盒内部通路断开，焊锡虚焊
处理：虚焊点加焊
",,
快速处理,"现象：马来退回霍尔板离线
原因：霍尔板损坏
处理：交由维修处理，霍尔板编号2023119038",,
快速处理,110171和110184加固驱动电机加固翻板电机、110218和112028校验轮径、110186校验轮径和霍尔,,
运维,rcs软件的某一个格口没有显示格口名称。,"1.打开rcs的Platforms文件中的grid.physical文件查看没有名称的格口是否位置配置正确
  -是：联系专业的售后技术人员
  -否：配置正确的名称和坐标后重启rcs",
运维,分拣机的LCD平台出现故障报错，分拣机能正常分拣，并且按红色按键暂停健和启动键都没有问题。其他都正常，就屏幕显示不了,"1.拔插LCD屏幕连接线并拧紧是否恢复
  -是：问题解决
  -否：进入步骤2
2.在wcs软件上重新升级LCD是否恢复
  -是：问题解决
  -否：进入步骤3
3.更换新的LCD盒并升级相同程序是否恢复
  -是：问题解决
  -否：联系专业的售后技术人员处理",
运维,WCS上显示货架状态为红色,WCS上显示货架状态为红色表示有任务的货架被拉出，手表放置在红色货架上能显示货架号，根据显示的货架号找到货架并插回,
运维,：调货架翻板卸货位置，分别调试三种类型的货架，并测试分拣机翻板卸货的位置,,
运维,"615格口状态在15点47分满（wes日志里发送的状态），在16点02分变空，而且16点15分再变空一次，车服就变空,从日志里没能看出是什么操作导致615变为空的状态，wes并没有发送空状态给rcs。",,
运维,B4仓第三套15号分拣机网络连接断开。重启分拣机和重置网络没有效果，、绿灯闪烁。,,
运维,"分拣机能准确分拣货物到对应的栏位上，但WCS的状态没有变为完成状态，查看日志没有查看到什么原因导致的，
但日志里能看到小车已经倒货到分拣机上了的，但没有看到分拣机投递完成的日志（实际上分拣机已经投递在对应栏位上了的），现场使用pda查询商品没有分拣到位",,
运维,车服无法启动,,
换货,"现象：小车跑偏
原因：霍尔板故障
处理：寄回维修",,
快速处理,"故障：平台车辆频繁急停
原因：大部分为木平台磨损凹坑导致
处理：使用PVC板固定在凹坑处",,
快速处理,"故障：112-169小车频繁急停
原因：万向轮没装到底
处理：重新安装",,
退货,"故障：供货滑槽皮带不转
原因：点击减速器损坏
处理：发减速器给客户更换",,
换货,"现象：充电桩充不进电
原因：其中一个电源损坏，主板元器件损坏
处理：维修更换电源，维修主板",,
运维,"故障：小车运行中有异响
原因：电机减速器齿轮异响
处理：更换电机减速器",,
快速处理,"故障：5号分拣机翻板撞货架半腰位置导向块
原因：分拣机程序错误，没有避让环节
处理：更新分拣机程序，运行正常",,
快速处理,"现象：德清叮咚最右边灯条离线
原因：两条电源线略有松动，更深层
处理：更换电源线，对线束及电源盒等进行检测",,
运维,MCS软件打不开了,,
运维,一直报错急停,,
运维,"第八套T-Sort上层，坐标39,8rfid识别不了",,
运维,第十套T-Sort下层，小车167146、173181、173113更换了bmsp板和电源板,,
运维,B4仓第一套下层小车因直行偏航角度过大导致急停后，小车部件所有都离线，车服点击启动没有效果。,,
运维,小车在指定的地毯上经常急停,,
运维,"：6-2-3wcs界面异常，内存占比很高，分拣机能正常分拣，波次能正常下发，但界面上不显示。
原因：内存满导致UI显示线程挂了",,
运维,"堵车，并且只显示关注小车
原因：去发货口的空车被堵在排队区，无法让带货小车前往分拣机格口卸货",,
运维,D仓第三套上层，发货口附件的地毯被打乱了，控制小车移动一个地毯小车显示位置前往三格,,
运维,更换地毯，并且充电桩充电异常,,
运维,现场因担心波次订单会超时，想关闭，但被挂在投料屏幕上了，退不出来，也无法扫描新任务，因此误操作料箱未分完，直接关闭波次，导致挂起料箱失败,,
运维,现场存在识别条码错误，然而再次扫描也能正常失败出条码，远程查看相机固件版本发现和之前识别出错的相机固件版本一样。,,
运维,：机器人卡翻板，手动翻下来之后，还是会卡住,,
运维,现场机器人无法开机，全部手动开机之后，有两台机器人状态仍是未知状态,,
运维,9号机不工作,,
运维,断电后打开2号扫码台，软件打不开，桌面快捷方式损毁（电脑ip192.168.1.69）,,
运维,机器人到达格口不卸货,,
运维,本地无法连接rcs,,
快速处理,"故障：充电桩烧BMSP板
原因：充电桩夹头短路
处理：更换充电桩夹头",,
换货,"故障：116222小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换霍尔板",,
换货,"故障：116222小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换BMSP",,
换货,"故障：116212小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换霍尔板",,
换货,"故障：116212小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换BMSP",,
换货,"故障：117028小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换霍尔板",,
换货,"故障：117028小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换BMSP",,
换货,"故障：117031小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换霍尔板",,
换货,"故障：117031小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换BMSP",,
换货,"故障：116254小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换BMSP",,
换货,"故障：117016小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换霍尔板",,
换货,"故障：117016小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换BMSP",,
换货,"故障：117030小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换霍尔板",,
换货,"故障：117030小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换BMSP",,
换货,"故障：117035小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换BMSP",,
换货,"故障：116220小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换霍尔板",,
换货,"故障：116220小车急停
原因：充电桩短路导致BMSP、霍尔板故障
处理：更换BMSP",,
快速处理,"故障：小车连接不到车服
原因：无线模块底部铜柱固定螺丝脱落
处理：增加固定螺丝",,
换货,"故障：分拣机电机离线
原因：3号电机不通电
处理：更换3号电机",,
快速处理,"故障：152053、155230、152049、153148、152126、153168、155128小车闪红灯被拿下
原因：急停可能是静电导致，电池电池不平衡，电压差80
处理：平衡电池电压，校准霍尔,继续观察",,
快速处理,"故障：156008、152038、155128、152125、155225、152084、153135小车急停闪红灯被拿下
原因：日志清空，原因位置，判断为静电导致
处理：校准霍尔轮径",,
换货,"故障：12号分拣直接断电，无法使用
原因：电梯板故障，没有输出电压
处理：更换电梯板",,
快速处理,"现象：112003，111020，110186，111187，110180小车频繁跑偏
原因：万向轮上脏东西太多
处理：清理后校轮径",,
快速处理,"现象：现场110223小车运行异响
原因：固定轮子电机的螺丝松了，导致轮子晃动
处理：紧固螺丝",,
快速处理,"现象：现场货架0046，0099，0112，0077，0079，0048，0017，0111，0107，0038，0098，0049，0005，0083，0037，0100，0044，0108，0051，0002，0090 rfid失效
原因：碰撞损坏
处理：更换并注册
",,
快速处理,"现象：现场多个货架精益管脱落，一个万向轮损坏
原因：使用磨损
处理：重新安装",,
快速处理,"现象：16号分拣机右读卡器偶发离线
原因：读卡器线束不良
处理：更换线束",,
快速处理,"现象：192.168.3.29，192.168.3.25分拣机翻版监控离线
原因：经检测是监控电源损坏导致
处理：现场有新的电源,更换后正常
",,
快速处理,"现象：利达尼现场多处挡边脱落
原因：螺丝松动
处理：重新安装紧固",,
快速处理,"故障：充电桩充电曲线异常
原因：充电桩夹头红黑线加锡后阻值增大，导致充电异常
处理：更换夹头红黑线（24,11坐标处夹头融化严重，后期需要关注）",,
快速处理,"故障：25号分拣机不投货
原因：分拣机卸货角度和抬升高度参数消失（不清楚人员修改还是自己变动）
处理：添加参数后分拣机正常工作",,
换货,"故障：198191灯板一直闪
原因：霍尔板故障
处理：更换霍尔板",,
快速处理,"现象：第三跑道线束端子损坏
原因：碰撞导致
处理：更换线束",,
快速处理,"现象：小车112164运行中摇摆
原因：万向轮支架未砸到位
处理：万向轮支架砸到位",,
快速处理,"现象：传送皮带机不传动
原因：减速器损坏
处理：更换减速器后正常",,
快速处理,"现象：三号扫码台自动发车
原因：估计是发车按钮导致
处理：更换发车按钮",,
换货,车号：109104   故障：小车按键指示灯板按键脱落  原因：未知（怀疑是碰撞所致） 处理：更换小车按键指示灯板,,
换货,故障：车号：114057运行不了  原因：BMSP板5V模块输出电压低于5V  处理：更换BMSP板,,
换货,故障：车号：105168 小车开不机  原因：翻板电机故障（短路）导致BMSP板5V模块损坏  处理：更换BMSP板,,
换货,故障：车号：105168 小车开不机  原因：翻板电机故障（短路）  处理：更换电机,,
换货,故障：电动货槽不会转动    原因：电机插销损坏  处理：更换电机,,
换货,故障：电动货槽不会转动    原因：CAN线端口松动导致接触不良   处理：更换CAN线,,
换货,故障：13号、16号分拣机X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,车号：72028、72092故障  ：运行中多次急停描述：左电机离线  原因：电机故障  处理：更换电机,,
换货,车号：72062、72043、72013、72070故障：万向轮弹不起来   原因：未知   处理：更换万向轮弹簧,,
换货,车号：72066、72051、72072、71232、73169、71250、72008、72025、72073、73001、72069故障：万向轮弹不起来  原因：弹簧断裂    处理更换万向轮弹簧（丝x外x长，0.5x4.6x4.5，4圈）,,
换货,车号：72042、72092、72033、72084、72082、72085、72030、72089、72086、72054、73005、72063故障：万向轮轮胎磨损严重（不成圆形状体 ）原因：未知     处理：更换万向轮轮胎,,
换货,故障：23号分拣机导向块损坏  原因：放货架时被操作员撞坏  处理：更换导向块,,
换货,故障：车号：197188、197188运行多次急停 描述目的地无地毯定位、车号：193158、193145运行一直报错4459 无描述  原因：霍尔板故障  处理：更换霍尔板,,
换货,故障：6-1-3 设备25号分拣机黑屏  原因：LCD控制盒故障  处理：更换新LCD控制盒,,
换货,故障：6-2-1设备电动货槽不会转动    原因：电机CAN线端口松动导致接触不良   处理：更换WIR000803CAN线,,
换货,故障：  6-2-1设备19号分拣机每次卸货后都会停顿1~2秒回正后才回到接货位置   原因：检查电机状态4号电机第一次没转到位，停一下再转 故障码提示：OA   处理：更换新4号电机,,
换货,故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,故障：翻板损坏   原因：长时间使用与货架碰撞后慢慢的出现裂痕   处理;更换翻板,,
换货,故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,故障：6-2-2设备 30号分拣机 ：4/5号电机离线  原因：Y轴扁线 电线被拨断了  处理：更换Y轴扁线,,
换货,故障：车号：114009底盘损坏、翻板电机底部  原因：怀疑是翻板电机减速器漏油腐蚀损坏底盘  处理：更换新底盘,,
换货,故障：分拣机3号电机离线  原因：电机故障  处理：更换新3号电机,,
换货,故障：3D分拣机提示电机过载、X滑块上轴移动时有异响、卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,故障：193191多次急停故障，描述：目的地物地毯定位  原因：霍尔板故障  处理：更换新霍尔板,,
换货,故障：电动货槽不会转动    原因：电机插销损坏   处理：更换新电机,,
换货,故障：3D分拣机提示电机过载、Y轴卡顿的现象  原因：轴承滚轮损坏  处理：更换新轴承,,
换货,故障：6-2-2 设备23号分拣机5号电机离线  原因：5号电机故障（指示灯都不亮）  处理：更换新5号电机,,
换货,故障：电动货槽不会转动  原因：电机故障（被员工的水杯淋到水） 处理：更换新电机,,
换货,故障：电动货槽屏幕破损  原因：被员工碰撞所致  处理：更换新LCD控制器,,
换货,故障：6-2-3设备 5号分拣机1号电机离线  原因：电机故障  处理：更换1号电机,,
换货,故障：30号分拣机4、5号电机离线   原因：电机故障  处理更换新电机,,
换货,车号：160079开机失败、拆开小车检查减速器漏油渗透了BMSP板及电源板，导致BMSP板及电源板损坏开不了机，处理更换BMSP板及电源板,,
换货,车号：160079开机失败、拆开小车检查减速器漏油渗透了BMSP板及电源板，导致BMSP板及电源板损坏开不了机，处理更换BMSP板及电源板,,
换货,"故障：162009机器人跑偏
原因:霍尔图像异常，校准无效果
处理：更换霍尔板",,
报废替换,"问题：小车地盘破损严重
原因：询问现场后木板磨损导致急停导致小车撞车
处理：更换小车地盘，修补木板",,
换货,"故障：备用充电桩无法充电 
原因：电源板故障
处理：需要更换电源板，未准备配件，电源板带回公司维修",,
快速处理,"故障1：2号线上层小车充电异常
原因：充电桩端子端子线烧坏
处理：更换端子线，同时指导希音运维人员如何操作更换，建议现场所有充电桩端子线全部更换掉
故障2：现场3×3  3×5货架翻板卸货打到货架立柱
原因：货架料框尺寸有误差
处理：修改画货架料框参数
故障：3D分拣机安全门微动开关不能触发，导致分拣报警不能启动
原因：安全们磁吸块撞错位，导致磁吸不能吸住安全门铁片，不能触发微动开关
处理：调证磁吸位置
培训：1.培训指导客户如何手动校准机器人  2.培训客户如何做设备维护",,
运维,无法绑定格口，现实存在绑定关系,,
运维,"未知，有些订单上报失败
",,
运维,"右下平台第二，三手指灯条一直在闪烁，目前确认情况是单连从电源盒灯条全都能正常，但单连主电源盒灯条会跳闪离线，7号发现04格口和05格口直接断开，断开电源盒其中一组则离线，然后把01.02格口整体移动到04,05格口是，发现04,05格口已经连通了，但01,02格口断开了，并尝试跳过01格口，让02格口直接连接电源",,
运维,发货不发车，扫码台软件显示接口3次无应答,,
运维,T-sort9下层的按钮盒 RC09-054和 RC09-055直接断开,,
运维,小车将产品准确地进行了分拣，但wes上查询不到该分拣的信息，然后再次分拣后便能查询到这个分拣信息。,,
运维,小车出现急停,,
运维,B4仓第二套扫码台相机连接不上。,,
运维,发货口6中的重量（ss011 ss012，Ip 192.168.3.10）测出的重量不对，空的时候显示300克，并且从300克开始测量。,,
运维,GLP仓Tsort1发货口相机连接不上,,
运维,相机的灯光没有亮，并且容易离线连接不上,,
运维,"分拣机停止分拣，绑定不了墙，并且过后wcs出现弹框
原因： 停止分拣因为wcs闪退了。",,
运维,施耐克维修回来装上后扫码商品不发车，扫码台软件也没有显示，但相机能失败到商品条码,,
运维,扫码台扫描商品延迟很高，导致画面停留到下一个空车过来并使再次发车,,
运维,小车急停,,
运维,加密版RCS打不开，提示“Feature not found(H0031)”,,
运维,16--28号分拣机断网,,
运维,下发的波次无法分拣需要更换平台,,
运维,MCS报货架BZQNB06不可用，波次无法启动,,
运维,扫码台扫码显示“应答数据格式错误”,,
运维,扫码台能扫描，机器人不去目的地,,
运维,修改扫码台配置文件中对应的发货口名称,,
运维,一开始是在28号分拣机是正常的，结果完成的时候出现在17号分拣机中,,
运维,小车扫描到条码没有收到目的格口应答,,
运维,右边扫描枪扫描货物小车不发车，询问现场说没有更换过扫描枪，但扫描枪断开过连接,,
运维,陀螺仪离线,,
运维,需要更换bmsp板,,
运维,现场日志有分10个文件，并且每个日志都有100M左右，中午就刷新早上的日志,,
运维,全场小车自动关机,,
运维,第一套下层小车经常急停,,
换货,故障：3号分拣机不亮机了，显示屏也不亮  原因：电梯板故障  处理：更换新电梯板,,
换货,故障：6-4-2 12号分拣机  LCD控制器破屏   原因：认为操作失误拉货架时碰撞到   更换新LCD控制器,,
