故障类别,软/硬件,部件,标题,描述,原因分析,解决方案
其它,货架和订单的分配逻辑,,货架和订单的分配逻辑,客户想知道为什么有些小订单，分得都是大货架,目前希音的分配逻辑是：没有强制校验类型，优先从大货架，大订单开始分配,如果客户需要小订单优先使用小货架，那么就需要重新提需求进行更改分配逻辑
硬件,飞箱,触点,101063飞箱没有电,"项目名称：流山UA 
报警消息：AirRob101063電圧継続落ちる！！！
远程查看时已经无法读取到电压和电流，现场检查充电触点接触是正常的，重新拉了一下充电接触的杆子后正常",充电模块没有接触到导致飞箱没有电,重新拉了一下充电接触的杆子后正常
硬件,分拣机,减速机,电机过载,5号分拣机的5号电机过载,"1、尝试回零，短暂恢复后又过载；
2、重启分拣机，无法消除过载；
3、单机随机跑，还是会5号电机过载；
4、根据现场提供的运行视频和远程查看状态，判断为5号电机减速机故障。",已上门检修并更换减速机。
硬件,平台,,小车上坡急停,小车上坡会出现急停,客户自己搭的上坡并不理想,"在上坡和坡点设置限速区
1.测试多少速度的情况下不会出现急停
2.在场地目录下Speed Limit Config.txt文件
3.在上坡路段，和坡点路段设置必停点
4.将限速区进入必停点的坐标和离开必停点的前一个坐标填写到Speed Limit Config.txt以及之前测试不会急停的速度"
其它,释放播种墙,,释放播种墙BZQCT0026，BZQCT0022，BZQCT2080,释放播种墙BZQCT0026，BZQCT0022，BZQCT2080,,在数据库里操作  已上传到附件
其它,接口无应答,,接口无应答,扫码台扫描包裹后显示“接口3次无应答”,"1、RCS请求镖普Hub服务失败；
2、镖普hub服务与顺丰ascs服务断开导致异常。",镖普技术处理后恢复
硬件,机器人,其它,219217 区域锁定,"机器人: 219217 发生了区域锁定,坐标: 12,30,错误码: 242,描述执行动作时,没有到达目标点附近",小车位移角度过大、导致撞到左侧的导航柱，导致急停,手动将小车移动到正确位置重定位恢复
硬件,灯条按钮盒,,灯条离线,一根手指格口无法检测满包及上报数据,"1、手指灯条异常离线；
2、排查灯条日志，发现现场有过直接断电；
3、192.168.13.42这条链路今天上电后CAN总线有异常，怀疑与直接断电有关。","1、重新离线注册灯条后恢复正常；
2、建议现场后续先正常退出软件，电脑关机后再进行断电。"
飞箱异常,料箱位置不正,,拉箱失败,拉箱<-货架飞箱:104007箱位:(A006)17-004No running position:9 日标:565.0实际:226.3,料箱歪了,手动操控轨道机将料箱扶正
其它,地面车226091 区域急停,,地面车226091 区域急停,"226091 发生了区域锁定，坐标:13.30,错误码242,描述执行动作时,没有到达目标点附近",,读取日志，对准桩点，重新定位  点已解决
其它,地面车219241区域急停,,地面车219241区域急停,"219241 发生了区域锁定，坐标:31.30,错误码242,描述执行动作时,没有到达目标点附近",人为造成的急停,读取日志  重新定位
其它,地面车219184区域急停,,地面车219184区域急停,"219184 发生了区域锁定,坐标:6,30,错误码242,描述执行动作时,没有到达目标点附近",应该不小心人为碰到了,读取日志 把机器人移动到点位上 对准桩点，重新定位
硬件,机器人,BMSP板,219156地面车区域急停,"219156: 机器人: 219156 发生了区域锁定,坐标: 8,34,错误码: 21D,描述Yaw angle is too large when go straight
",本人排查原因bmsp板刹车控制系统故障，问题已经反馈给研发,重定位已解决
飞箱异常,其它,,飞箱101051 拉箱异常,飞箱:101051 箱位:(A003)12-012拉箱机拉箱失败，箱子脱钩,,"1.先读取飞箱日志，在读取TOF日志
2.钩子往后拉 终止 启动"
数据补推和货架释放,,,释放货架,客户要求将货架PBW60798，PBW61870，PBW61730，PBW61976，PBW60453，PBW60496，PBW60463，PBW60047，PBW60785进行释放,客户需求,"1.在浏览器中打开swagger页面
2.打开希音wms交互接口中的wms/xy/wallRelease
3.点击try it out
4.将播种墙号输入在cartId字段 墙号在“”内，string的位置，然后点击execute执行
"
飞箱异常,其它,,飞箱:101033,飞箱:101033 箱位:(A007)10-042拉箱机拉箱失败，箱子脱钩,,TOF读取日志  箱子复位重新  终止 启动
其它,228158,,地面车急停 228158,地面车在充电桩前急停,,调整位置 读取日志  重新定位
其它,地面车急停230219,,地面车急停230219,地面车急停230219,,读取日志，重新定位桩点
其它,物品掉落,,物品掉落,物品掉落，发现地上有包裹掉落,,"1.让客户提供箱号或者飞箱号 我们来查监控
2.根据客户提供的箱号 在日志里查看那一台飞箱查看飞箱监控
3.是因为箱子超高 ，应该是在行驶的过程中掉落的"
其它,释放货架,,释放货架,GBW0008释放货架,,GBW0008释放货架，在数据操作修改 在运维电脑里修改
波次问题（移除、迁移、关闭）,波次转移,,波次转移,波次转移ID2506070026,,在数据库里更改
数据补推和货架释放,,,释放货架,释放PBW61110 PBW61532 PBW61065 PBW60388 PBW60785 PBW61266 PBW60995 PBW61526 PBW61420 PBW61200 PBW61079 PBW60764 PBW60679 PBW60783 PBW61193货架,,使用批量脚本统一释放货架
其它,重新注册货架不成功,,注册失败,"客户需要修改货架名称，重新注册货架，直接注册覆盖不了，显示rfid已存在,需要修改一百多个货架（LBS名称开头的货架除外）","1，在数据库中删除一个货架LBL4113，然后能注册成功
2，数据库单单修改货架名称无法直接覆盖进行注册",在数据库中删除LBS开头外的货架，让客户重新注册
波次问题（移除、迁移、关闭）,客户要求删除未启动波次,,删除未启动波次,客户要求删除未启动波次PO2506070079,,操作数据库修改波次状态为4即可
其它,wes网络异常,,wes网页弹出网络异常,wes网页无法操作，弹出网络异常提示，无法正常分拣,"1.网络ping不通
2，wes三台电脑关机",开机后恢复正常
波次问题（移除、迁移、关闭）,波次迁移,,波次迁移,将波次ID2506060059从第三套迁移到第四套平台,,操作数据库迁移波次数据
软件,扫码台软件,,发货口的急停按钮失效了,发货口的急停按钮失效了,"未知
测试插到飞箱平台可以正常使用，排除了按钮硬件问题",重新绑定
客户操作,,,RCS四台电脑的时间不一致,RCS四台电脑的时间不一致,NTP服务没打开,重新启动NTP服务
其它,,,地面车急停,地面车急停,查看磁条图判断出地面上掉落的有箱子导致地面车急停,让现场的人去把箱子调走，重新定位地面车
飞箱异常,其它,,第一次拉箱脱钩，第二次拉箱卡住，导致拉箱失败,第一次拉箱脱钩，第二次拉箱卡住，导致拉箱失败,查看监控：拉箱时，箱子卡住，导致没有拉取到位,重新推箱，重新启动拉取
客户操作,,,飞箱拉箱失败，没拉到位,飞箱拉箱失败，没拉到位,箱子里面放的物品过高，导致拉箱的时候卡住了,让现场调整箱子里面的物品，推回箱子，重新启动任务
数据补推和货架释放,,,释放播种墙,释放播种墙BZQCT0022  BZQCT2080  BZQCT0026,客户需求,"1. 登录到海外希音的跳板机电脑
2. 在浏览器中打开swagger页面，地址是http://10.43.150.10:8082/swagger-ui.html
3.打开希音wms交互接口中的wms/xy/wallRelease，点击try it out
4. 将播种墙号输入在cartId字段 墙号在“”内，string的位置，然后点击execute执行"
硬件,分拣机,4号电机,分拣机撞机,客户描述今天分拣机9(3D09)有撞机。现场恢复后投入使用后还有多次电机失零断联扭矩过大的情况。,"比较了该分拣机的卸货位置，发现其x轴相对位置数值是全场最大的（其他机器都是1740，就这一台1745）。可能是x轴过于靠近平台导致撞机。

其次客户撞机后可能没有回零到位，没有重启，造成之后的报错停机。","配合客户检查了x轴卸货坐标，发现坐标是合适的。不需要略微改小。

重启分拣机，并回零，持续观察。目前3小时过去没有其他异常，正常分拣，没有报错。"
波次问题（移除、迁移、关闭）,,,波次迁移至其他平台,客户要求ID2506050099从GRU3迁移至GRU4,,"已迁移
"
硬件,分拣机,1号电机,电机过载,7号分拣机报1号电机过载,"1、查看LCD小屏幕，显示有电机过载；
2、使用分拣机工具查看分拣机状态，发现电机都已恢复正常；
3、怀疑是电机过载后分拣机自动恢复，尝试重启分拣机。",重启分拣机后恢复正常。
硬件,分拣机,输出板,输出板离线,5号分拣机输出板离线,检查电控箱内输出板插线，重新拔插其CAN接线,拔插输出板接线后恢复
其它,,,地面车 219214 区域急停,"地面车 219214 区域急停 机器人: 219214 发生了区域锁定,坐标: 25,30,错误码: 242,描述执行动作时,没有到达目标点附近",,小车操控界面手动重新定位后，恢复
飞箱异常,TOF异常,,106008拉箱异常,拉箱时调整十次以上拉箱失败,肖工分析,终止启动点击已解决
硬件,飞箱,TOF25,106003飞箱拉箱失败,"106003 故障。问题X2移动错误:不在预备位置或载箱位置Y=424.799988,R=41.400002.请恢复飞箱后点击已解决",25tof外壳损坏导致无法拉箱,更换tof外壳终止启动点击已解决
硬件,飞箱,TOF25,106003飞箱移动错误,"X2移动错误:不在预备位置或载箱位置Y-538.000000,R=42.599998.请恢复飞箱后点击已解决",肖工正在分析,解锁9号电机，将飞箱往上升终止启动
飞箱异常,其它,,104116拉箱异常,A16箱子卡住24V保护,A16箱子卡住24V保护,泉工解决
飞箱异常,倾角异常,,104012推箱异常,倾角没对好,倾角没对好,终止启动
硬件,扫码台相机,,相机离线,客户反馈现场有一台扫码台显示相机无法连接,经调查发现，右边的相机是处于离线无法连接的状态,拔插电源线路重启相机，恢复正常
软件,MCS,,波次无法关闭,客户反馈第四套平台上面的波次69无法关闭,经调查发现，虽然分拣机上面已经全部完成了投递，但是因为网络波动问题，导致还有一个任务没有更新，还是显示待投递状态,手动将那条待投递状态改成已经完成的状态，恢复正常。
参数配置,,,按钮盒程序关闭,按钮盒程序点击关闭会直接退出程序并且不随车服一起启动,"1.关闭按钮盒最小化会直接退出灯条（没有修改配置退出最小化功能）
2，没有配置灯条程序随车服启动脚本",配置灯条程序开启最小化功能并在车服配置启动脚本
硬件,灯条按钮盒,,灯条异常,uniuni LA项目第十根手指按钮盒没不亮灯，按钮不反应,"1.软件上排查发现第十根手指离线，其他手指单向连通
2,检查电源盒连接线，发现电源盒连接线断开
3,其他单向连接的按钮和都有连接线异常的问题（hub板接线脱落）",检查连接先并整理连接好恢复正常
软件,扫码台软件,,扫码台闪退,波兰希音第5套桌平台，192.168.2.18扫码台扫描条码后扫码台程序会闪退,"1更新扫码台后扫描依然出现闪退
2关闭扫码台相机扫描条码小车不发车，再次开启相机显示后依然闪退
3今天测试条码黑名单添加了黑名单表达式，测试时没发现闪退，但开始分拣时扫码就会闪退
4了解2.18扫码台今天修改过黑名单后出现闪退
5加黑名单*[!@#%^&amp;*()\-_=+\[\]{}\\|;:'?`~].*不是所有电脑闪退（项叶盛排查发现闪退电脑系统语言为中文，现已更新修改英文语言）",删除黑名单表达式.*[!@#%^&amp;*()\-_=+\[\]{}\\|;:'?`~].*后恢复正常分拣
其它,堵车,,平台堵车,巴西希音第七套桌平台上层堵车,"1.格口集中手指的左边格口
2,发货口也在手指左边发货",停止发货口，并手动操作小车移动梳理小车
软件,扫码台软件,,ftp上传照片异常,FTP服务器电脑上没有找到对应的存图，镖普查询hub日志发现扫码台没有上传图片，有遗漏,"1.镖普hub有程序没有问题，查询程序正常，没有收到扫码台上传图片
2,查询车服和扫码台日志，车服日志上正常，扫码台上没有上传失败的日志（3号更新扫码台增加上传失败的日志，日志显示：不存在包裹，陈勇反馈可能是多条码导致，上限跟下限，表明是允许多条码的，如果上限跟下限都是1应该没问题，更新版本也有修复多条码导致上传失败的bug）
3,4号跟踪发现能正常上传图片，日志上有上传失败的日志，但14号扫码台上传失败已修复成功，恢复上传
4,5号再次更新修复上传失败的bug，但2.44和2.46扫码台出现白屏和网络时好时坏的问题，这两台扫码台回滚4号更新包（已反馈给陈勇）
5,6号再次发现图片没有上传成功，更新扫码台出现扫描闪退的情况，再次反馈并更新扫码台后修复正常（修复闪退，图片上传失败，白屏，网络不正常等问题）
6,9号全部更新扫码台继续观察是否有问题
7.11号发现图片上传就一张，依然无法正常上传所有图片（反馈陈勇和吴勇，更新车服和扫码台修复上传问题）",11号更新车服和扫码台（已上传工单），经过这几天的观察发现已经能正常上传图片并扫码台无异常
硬件,灯条按钮盒,,灯条异常,灯条红灯亮一半，或者亮白灯,"1.灯条连接电源通讯正常（无单向连接）
2.通过灯条软件控制开启灯条开灯依然是亮一半红灯
3.灯条插拔后无效，再次软件控制也无效（亮一般红灯）
4,灯条故障","更换灯条后重新注册灯条后恢复正常，软件控制能正常全亮
右下更换06R01，15R09，14r07，12r19，07r14
左下更换11L11"
硬件,机器人,翻板,翻板不能归位,进入手动翻板模式后，翻板手动用力推一下也不能继续归位。客户更换翻板电机,,"客户自行更换翻板电机
重新添加小车"
硬件,分拣机,4号电机,分拣机经常电机离线,"客户反馈B4-4-3D30分拣机经常电机离线。
“这台机器第一次运行了11分钟就停了，然后又运行了40分钟之后又停了。”“电机二只有一次，后面三次都是电机四。”","错误信息图片显示4/5电机均离线。4/5/共用的分离器线路接触不良
Can Splitter板接线松动",客户顺线找到拖链松动处，重新固定，减少运动时CAN线的被拖拽情况导致的接触不良
软件,RCS,,飞箱在拉箱地面车时候车服弹窗报错箱子正反面箱号不一致,三井飞箱104007在接驳位拉箱地面车时候报错正反箱号不一致， 联系现场实际人员观察箱号一致，后续通过工作站扫码枪扫码箱子编号正常排除箱体条码故障，后续中止任务 箱子重新上架解决弹窗报错， 故障原因已经反馈研发正在查找原因。,未知 ，待研发分析,弹窗界面中止任务， 该带箱小车去其他飞箱重新上架
其它,料箱数据异常,,料箱数据异常,立镖系统内料箱40009746数据与客户系统数据不一致,6月1日客户WMS系统下发的波次173113081571299，只有箱子数据无订单数据，导致处理料箱数据时产生异常。,客户WMS和立镖WES系统清理历史残留数据，后续优化系统逻辑。
其它,地面车急停,,地面车219216区域急停,地面车219216区域急停,,机器人位置发生偏移 需要调整机器人的位置坐标，重新定位
软件,RCS,,机器人打滑导致跑偏,机器人打滑导致跑偏,"可能和现场魔毯上面铺设的垫子有关，起步的时候有点打滑
1、RCS软件上操作单台车校准轮径（校准完之后轮径还是很偏）
2、让现场手动操作单台车校准轮径（校准完之后轮径还是很偏）
3、全场校准轮径（校准完成）
4、重新注册霍尔",重新校准轮径和霍尔
飞箱异常,其它,,推箱->地面车 车上有箱,"飞箱:101031地面车:226066推箱到地面车,车上有箱",,"1.先读取日志，
2.使用TOF小车上是否有箱子，.
3.确认小车上没有箱子 ，把箱子推到地面车上
4.终止启动"
硬件,灯条按钮盒,,满包传感器离线,TSort第10套一组格口按钮盒离线,"1、检查格口电源盒电源是否有电：正常有电；
2、检查格口电源盒网口状态：网线正常闪烁；
3、拔掉格口电源盒所有接线，再插回接线后，按钮盒全部恢复在线。",拔插格口电源盒接线后按钮盒恢复在线。
硬件,机器人,翻板电机,191124自动关机,小车191124发生两次运行中自动关机,"1、分析Error日志，191124今天发生两次翻板失败的报错；
2、分析内核日志，发现其关机时间与翻板失败时间相吻合；
3、地图没有规划检修区，导致小车翻板失败后无法离开当前位置；
3、以上分析可以怀疑，由于其翻板失败导致翻板电机卡住而过电流，引发关机。","临时改善措施：给地图增加检修区，当再有小车因翻板失败而不动后，它会自己去检修区停车等待检修，从而不影响其他小车正常运行。
如果191124再发生这样的情况，可以先将其搬下平台并从RCS软件中删除，待后续上门维保或寄修时一并检修。"
硬件,机器人,其它,现场反馈机器人在充电桩位置反复进出,现场反馈机器人在充电桩位置反复进出,"正在确认原因
1、远程随机跑观察充电情况都是正常的
2、排查error日志，没有充电异常的报警日志",现场反馈已经恢复正常，没有找到原因，怀疑现场客户操作有问题
波次问题（移除、迁移、关闭）,波次转移,,波次转移,ID2506040054从GRU#1转移到GRU#2,,在运维数据库里操作 从GRU#1转移到GRU#2
飞箱异常,其它,,101042飞箱拉箱失败,"拉箱<-货架
飞箱: 101042 箱位: (A005)07-021
No running position:11 目标:130.0实际:174.2",,1.飞箱操控界面手动将箱子摆正，后终止启动任务
软件,WES,,TSort全场不可用,TSort场地10套设备无法正常关箱与分拣,"1、WES开发人员检查WES服务器，发现服务端口可以正常访问，但是服务访问异常，尝试重启服务，短暂恢复。
2、再次异常，重启WES服务器后，恢复一段时间后，现场有反应异常，无法正常作业，继续排查其他问题点；
3、排查日志发现，访问第7套下层RCS主机上的盒子服务时，有大量的连接超时记录，现场反应已开机且IP正确，但无法ping通，暂停第7套的灯控制逻辑后，现场恢复正常。
4、检查问题主机防火墙，发现防火墙被打开，关闭防火墙后访问正常。重新恢复第7套的灯控制逻辑。

【总结】第7套下层RCS主机防火墙被启用，导致WES服务无法请求其满包软件控制格口亮灯指令，调用超时而阻塞其他正常请求，耗尽WES服务器资源，服务假死。","临时处理措施：临时移除控制第七套设备灯亮灭的功能逻辑

功能恢复：在确认网络访问正常后，重新启用灯控逻辑；

系统修复与优化：对服务中发起外部请求的模块进行优化，增加资源使用上限，防止单类请求占用全部系统资源，优化超时机制，缩短请求超时时间。"
飞箱异常,其它,,104104拉箱失败,接驳位多次校准失败,暂未能排查出原因,终止启动点击已解决
硬件,飞箱,TOF22,104106TOF22号离线,104106拉箱失败,tof22插线问题，接触不良,将22号tof拆下重新插线再安装恢复正常
参数配置,,,WES服务频繁离线,4号库：RCS和扫码软件端连接WES的服务频繁离线,WES服务有规律的每隔10分钟左右就会离线，现场重启WES服务器后就会恢复。怀疑是WES服务器定期睡眠导致。,取消WES服务器的定期睡眠设置后恢复正常。
波次问题（移除、迁移、关闭）,波次,,波次换平台分拣,客户要求将波次#ID2506040015从gru 4 移到 gru 1进行分拣,客户需求,"1. 登录美国B4数据库，执行sql: select * from wave_info where wave_no ='ID2506040015';
2. 将plat_id字段中的NA-ID01-0004修改成NA-ID01-0001"
参数配置,,,包裹条码无法读取,客户反馈T-sort 平台部分包裹的条码无法读取（包裹条码参考附件）,用相机测试软件进行条码测试，发现只有开启ITF25识别条码功能，条码才能识别到,将现场所有相机都开启ITF25条码识别功能
波次问题（移除、迁移、关闭）,,,删除波次,客户误将PNT仓库的波次启动到P3上，需要回退波次状态,,"将波次从P3 MCS中删除
在P3数据库wave_info中将status从2改成0
删除wall_wave_bind_info中与该波次关联的货架数据

根据客户要求，将status改成4 彻底移除波次"
波次问题（移除、迁移、关闭）,,,删除波次,客户要求删除D0908903350 、D5826067751波次,客户误操作,"手动MCS中删除波次
这两个波次并未在WES和数据库中出现，所以没有变更数据库字段"
软件,扫码台软件,,扫码软件断开连接,扫描包裹时会出现断开当前连接和网络错误，影响客户分拣效率,询问黄文振，该扫码台版本过低，新版本扫码台已修复,停止分拣后更新扫码台后有所改善
客户操作,,,车服无法启动,车服无法正常启动,客户搬小车下场地没有在车服上删除182026小车，急停后无法正常开启车服,车服上删除小车182026后恢复正常开启
波次问题（移除、迁移、关闭）,波次无法正常关闭,,波次无法正常关闭,佛山希音高明嘉民无法正常关闭S525060400644波次,订单中有个订单没有完成订单，无法正常关闭订单,在wcs上强制完成订单后能恢复正常关闭
波次问题（移除、迁移、关闭）,波次无法关闭,,波次无法正常关闭,美国希音B4平台无法正常关闭波次ID2506030038,分拣机上有一个包裹无法完成分拣机,强制完成wcs上一个包裹订单可以正常关闭
软件,扫码台软件,,扫码台连接不稳定,"客户描述：“物品扫描站的网络中断。经常需要等待很长时间才能扫描一个物品。服务状态经常会在长时间停顿后变为离线。”
远程上去后，扫码台状态栏一直绿色红色闪（见附件视频）",软件不稳定,"重启扫码台软件，连接状态恢复稳定，不再红绿闪烁
但是摄像头离线

第二次重启扫码台软件，连接稳定，摄像头恢复
还是有较为偶发的红绿闪烁情况"
飞箱异常,TOF异常,,101039拉箱失败,ト-ト引出す<-GRobotAirRob:101039 GRobot:228150Norunningposition:9日标:565.0实际:263.0,tof传感器未正确识别到料箱，而识别到托盘边缘导致未对准料箱拉取,手动将箱子摆正重新终止启动拉取成功
飞箱异常,TOF异常,,101063飞箱拉箱失败,"飞箱: 101063 箱位: (A002)12-042
拉箱机拉箱失败，抓钩总成后拉100mm拉不出来",,"临时措施：飞箱操控界面，手动将箱子摆正，终止启动任务后恢复
长期措施：拿取日志以及故障视频，带研发查找根本原因"
客户操作,,,部分格口按钮盒无反应,现场反馈部分格口按钮盒按下后没有反应,"1、多个按钮盒同时失去响应，怀疑与格口电源盒有关；
2、查看满包软件配置界面，显示其中一组电源盒离线。",指导现场人员给问题电源盒供电排除异常后恢复正常。
波次问题（移除、迁移、关闭）,,,删除波次,客户要求删除未启动的波次PO2506030135,,进入数据库，将波次状态Status从0更改成4
硬件,机器人,机器人底盘,191099小车故障,191099小车频繁急停,未知：尝试校准霍尔、重新注册电机、校准轮径、更换霍尔板均无法恢复，日志中持续输出“无地毯定位”错误。,底盘破损，已上门检修并更换
软件,WES,,WCS报错WES登录不上,WES登录报网络超时,找WES开发看，20250604105528_2_60_TFQ0这个波次下发的时候，wes启动波次推送给mcs时候mcs收到了异常导致事务回滚，将这个波次数据回滚了，但是mcs那边又收到了波次并启动，上报分拣结果的时候，因为wes这边没有这个波次，所以无法上报，提示了异常,"1.先查看WCS日志，有返回异常信息
2.找WES开发看查明问题
3.经过检查是Redis故障引起导致响应超时，redis连接池不足，导致redis连接超时
4.redis连接池不足，开发加大了连接池为1024"
飞箱异常,其它,,飞箱:101063 箱位:(A002)12-042,飞箱:101063 箱位:(A002)12-042拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,,箱子有一下斜掉了，需要手动调整，调正箱子 终止启动
数据补推和货架释放,,,释放货架,意大利3D项目：释放货架SDW1554、SDW1520、SDW1444、SDW1330、SDW0227,未知,按照WES货架释放流程进行释放操作
飞箱异常,其它,,地面车检测不到料箱,推箱->地面车飞箱:104041地面车:205084补推3次后，地面车箱传感器检测不到,轨道机没有把料箱推到位,手动操作将料箱推好
硬件,飞箱,触点,101013飞箱欠压,101013待机电源欠压:23.922(v),,"临时措施：左右移动飞箱，使得电压恢复到26V已上后，终止启动任务恢复正常
长期措施：更换充电触点"
飞箱异常,其它,,101074推箱失败,"推箱->货架  飞箱: 101074 箱位: (A074)08-056.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",以对接研发暂未排查出原因,终止启动点击已解决
硬件,飞箱,触点,106001飞箱充电模块损坏,车服显示飞箱关机，排查确认充电模块损坏，更换后恢复正常,,
其它,,,地面车 219239 区域急停,"219239 发生了区域锁定,坐标: 24,2,错误码: 21C,描述激光雷达避障急停,检查并复位",,查看日志发现小车前方有人员出现，等人员走开后，点击已解决恢复
软件,WES,,无法拉取波次,"客户扫码拉取波次#PO2506030128,拉取失败","这个波次中，有个货物的体积，字段长度过长了 ""productCube"": 216000000000","1. 临时解决方案：修改I86vkd2n0w7b  这个sku的体积，然后重新拉取波次
2. 永久解决方案： 更新WES，目前已经更新了"
其它,堵车,,现场小车堵车,客户反馈现场第一套下层小车堵车,经调查发现，现场有一台小车被手动暂停了，导致了堵住了后面小车的前进路线,将那台被手动暂停的小车恢复正常，现场恢复正常。
参数配置,,,扫码枪绑定,码枪绑定无法有效读出条码,"txt能正常扫描条码
程序软件无法识别扫码软件",使用码枪硬件id工具读取hid重新绑定后正常，配置没有绑定正确
硬件,分拣机,读卡器,货架离线,货架离线，分拣机报警,"1、插拔货架无效
2、重置网络无效（客户主动操作）
3、重启分拣机后恢复",重启分拣机后恢复正常
参数配置,,,更新扫码台和修改格口编号,"更新扫码台配置文件
修改格口编号",格口名称排序出错，修改正确,
硬件,分拣机,其它,撞货架导致电机失零,"客户反馈分拣机卡住，指导客户回零。
回零后正常分拣还与分拣机左侧货架最下层碰撞。","左侧4x5货架最下层组装错误，料框比其他4x5货架最下层料框位置更高。导致撞机。

合理怀疑一开始客户汇报的分拣机卡住也是因为这个原因产生撞机导致的。","分拣机回零
指导客户重新调整货架"
硬件,其它,,PDA不能连上WES,客户描述PDA上AES程序不能登录。,"1.  指导客户修改PDA上WES服务器的ip和端口。经过测试不行
2. 已确定PDA和WES服务器连接到同一个WIFI网络（SSID:ITX_Staff）,网段是192.168.5.xxx，网关是192.168.5.9
3. WES不能ping通PDA。同时这个5网段内的所有设备都不能互相ping通。
4. 通过网线组成的192.168.2.xxx的网段可以互相ping通。","让客户联系现场客户自己的IT，检查5.9网关的路由器设置，是否禁止局域网内设备互相连接。让其查明后再次在PDA上尝试连接WES（192.168.5.245）
截至目前客户没有进一步的反馈情况。不知道是否成功连上。
"
波次问题（移除、迁移、关闭）,波次,,波次迁移至其他平台,"客户要求ID2506020041 从GRU1迁移至GRU2
",,已迁移
硬件,飞箱,TOF25,101047飞箱拉箱失败，TOF25离线,远程检查发现飞箱报错，查看错误TOF25离线，关闭24V电源后，重新打开24V电源，飞箱无法启动，现场帮助24V电源复位后恢复，TOF恢复正常,,现场帮助24V电源复位后恢复，TOF恢复正常
客户操作,,,"地面车80065区域急停机器人:80065发生了区域锁定,坐标:24,18,错误码:21C,描述Bo","地面车80065区域急停机器人:80065发生了区域锁定,坐标:24,18,错误码:21C,描述Bot stop trigged by the TOF radar",小车路径上有杂物,清理杂物后，启动
其它,,,发生了区域锁定,"地面车 219203 区域急停 机器人: 219203 发生了区域锁定,坐标: 14,3,错误码: 21D,描述直行偏航角度太大(>15°),检查并复位",,地面车手动界面，重新定位后恢复
客户操作,,,包裹任务未下发,意大利TSort平台：扫码台扫描包裹时提示“此包裹码任务未下发”,希音WMS系统5月30日下发该分拣任务后现场没有进行分拣作业，至6月3日已超过48小时期限后该任务已被立镖系统清除导致现场无法作业。,让希音WMS系统重新下发该分拣任务即可，告知客户后续要注意分拣任务的时效性。
硬件,机器人,CAN总线,228115地面车急停,"地面车 228115 区域急停 ロボット: 228115 エリアロックが発生しました、座標: 19,6、エラーコード: 212、説明 右モーターはオフライン","CAN总线异常，导致霍尔板通信异常,然后再报电机通信异常离线！",已经对接给研发
参数配置,,,上下层格口状态不一致,格口名称：AD0105R20，下层这个格口状态和上层对应位置的格口状态不一致,检查格口名称，发现下层RCS的grid.physical文件中该坐标没有配置格口名称AD0105R20，导致其状态不统一。,修改下层RCS的配置文件grid.physical，对应坐标处添加格口名称AD0105R20后重启RCS，恢复正常。
飞箱异常,TOF异常,,101070拉箱失败,"拉箱<-货架  飞箱: 101070 箱位: (A071)07-052......调整位置的次数超过10次,调整拉箱位置失败",肖工已经处理,终止启动点击已解决
飞箱异常,TOF异常,,101061拉箱失败,"拉箱<-货架  飞箱: 101061 箱位: (A062)01-005......调整位置的次数超过10次,调整拉箱位置失败",肖工已经处理,终止启动点击已解决
飞箱异常,接驳位偏移量异常,,101039接驳位推箱失败,"推箱->地面车  飞箱: 101039 地面车: 230209.......推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",接驳位偏移量过低,点击终止启动点击已解决将偏移量向上增加5mm
飞箱异常,TOF异常,,101080拉箱失败,"拉箱<-货架  飞箱: 101080 箱位: (A081)08-054......调整位置的次数超过10次,调整拉箱位置失败",箱子靠的太近了导致tof测量数据错误飞箱拉箱时一直调整,手动将报错的箱位箱子拉出再重新拉箱点击已解决
硬件,飞箱,其它,巴德场地飞箱推箱多次修正,巴德场地飞箱推箱多次修正，手动处理之后还会出现，部分未知出现拉箱后推箱也会出现推箱修正失败,"这问题,没有彻底解决,可能：货架宽度设计的也紧凑",联系肖升级过一个版本，有效果但无法彻底解决
飞箱异常,TOF异常,,101049拉箱失败,"拉箱<-货架  飞箱: 101049 箱位: (A050)04-027......调整位置的次数超过10次,调整拉箱位置失败",tof测量数据不准确导致飞箱没有对准料箱,手动将箱子拉出一点点
飞箱异常,TOF异常,,101049拉箱调整十次拉箱失败,"拉箱<-货架  飞箱: 101049 箱位: (A050)04-027......调整位置的次数超过10次,调整拉箱位置失败",箱子之间靠的太近tof测量数据不准确,终止启动点击已解决
飞箱异常,TOF异常,,101049拉箱调整十次失败,"拉箱<-货架  飞箱: 101049 箱位: (A050)04-027......调整位置的次数超过10次,调整拉箱位置失败",箱子和箱子之间靠的太近tof识别错误,终止启动点击已解决
飞箱异常,其它,,拉箱失败，箱子脱钩,飞箱106008从219201地面车拉箱失败，箱子脱钩,原因未知,"临时方案：操作飞箱控制界面恢复
最终解决方案：提交给研发调查根本原因来解决"
